,Paradiso,Parafrasi
4128,come a’ Giudei tale eclissi rispuose.,gli Spagnoli e gli Indiani come presso gli Ebrei.
4129,Non ha Fiorenza tanti Lapi e Bindi,"In Firenze non ci sono tanti Lapo e Bindo,"
4130,quante sì fatte favole per anno,quante sono le simili fanfaluche che ogni anno dal
4131,in pergamo si gridan quinci e quindi:,pulpito  vengono urlate in ogni luogo:
4132,"sì che le pecorelle, che non sanno,","così che l’umile popolo cristiano , che"
4133,"tornan del pasco pasciute di vento,","è ignorante, ritorna dalla predica  cibato d’aria,"
4134,e non le scusa non veder lo danno.,e non aver compreso l’inganno  non è valida scusa.
4135,Non disse Cristo al suo primo convento:,Cristo non disse ai suoi primi discepoli : 
4136,"‘Andate, e predicate al mondo ciance’;",‘Andate e predicate sciocchezze fra gli uomini’;
4137,ma diede lor verace fondamento;,diede invece loro insegnamenti di verità; 
4138,"e quel tanto sonò ne le sue guance,","e solo questi risuonarono dalle loro bocche , "
4139,sì ch’a pugnar per accender la fede,così che del Vangelo si fecero  scudo
4140,de l’Evangelio fero scudo e lance.,e lancia nel combattere per diffondere la fede in Dio.
4141,Ora si va con motti e con iscede,Ai nostri giorni si predica con battute e
4142,"a predicare, e pur che ben si rida,","lazzi , e pur di divertire, il"
4143,gonfia il cappuccio e più non si richiede.,prete  si gonfia di boria e non pretende altro. 
4144,"Ma tale uccel nel becchetto s’annida,",Ma sulla punta del cappuccio  si annida un uccello 
4145,"che se ’l vulgo il vedesse, vederebbe","così malefico, che se il popolo lo vedesse, "
4146,la perdonanza di ch’el si confida:,capirebbe il valore del perdono in cui confida; 
4147,"per cui tanta stoltezza in terra crebbe,","per ottenerlo tra gli uomini si è diffusa tanta stupidità, "
4148,"che, sanza prova d’alcun testimonio,","per cui ci si affiderebbe a qualunque promessa, "
4149,ad ogne promession si correrebbe.,senza chiedere la prova di qualunque attestato ufficiale.
4150,"Di questo ingrassa il porco sant’ Antonio,",Di queste false indulgenze l’ordine degli antoniani 
4151,"e altri assai che sono ancor più porci,","ingrassa il proprio maiale, e arricchisce tante altre persone "
4152,pagando di moneta sanza conio.,ancora più corrotte pagando con monete illegali. 
4153,"Ma perché siam digressi assai, ritorci","Ma dato che ci siamo allontanati, riporta la tua attenzione "
4154,"li occhi oramai verso la dritta strada,","sull’argomento principale , così che "
4155,sì che la via col tempo si raccorci.,il ragionamento si abbrevi insieme al tempo.
4156,Questa natura sì oltre s’ingrada,La natura angelica cresce  così tanto
4157,"in numero, che mai non fu loquela","in numero, che nessun discorso o "
4158,né concetto mortal che tanto vada;,pensiero umano giunge mai tanto lontano;
4159,e se tu guardi quel che si revela,"e se tu pensi a quanto ci rivela il profeta Daniele,"
4160,"per Danïel, vedrai che ’n sue migliaia",capirai che nella sua espressione «migliaia di migliaia» 
4161,determinato numero si cela.,resta inespresso  un numero preciso.
4162,"La prima luce, che tutta la raia,","La luce divina, che li illumina tutti, viene da"
4163,"per tanti modi in essa si recepe,","essi ricevuta  in modi tanto diversi, "
4164,quanti son li splendori a chi s’appaia.,quante sono le luci angeliche che le si uniscono . 
4165,"Onde, però che a l’atto che concepe","Perciò, poiché l’intensità dell’amore consegue "
4166,"segue l’affetto, d’amar la dolcezza","al modo in cui si conosce Dio, negli angeli"
4167,diversamente in essa ferve e tepe.,la soavità della carità arde ed è tiepida in misura diversa.
4168,Vedi l’eccelso omai e la larghezza,A questo punto puoi comprendere la sublimità e la magnificenza 
4169,"de l’etterno valor, poscia che tanti","della somma virtù divina, dato che ha creato così innumerevoli "
4170,"speculi fatti s’ha in che si spezza,","specchi nei quali si distribuisce  la sua luce, pur rimanendo "
4171,uno manendo in sé come davanti».,unica  in se stessa come era prima ».
4172,Forse semilia miglia di lontano,Forse l’ora del mezzodì  arde 
4173,"ci ferve l’ora sesta, e questo mondo","lontano seimila miglia, e la terra proietta "
4174,"china già l’ombra quasi al letto piano,","il suo cono d’ombra fin quasi a distenderlo all’orizzonte , "
4175,"quando ’l mezzo del cielo, a noi profondo,","quando lo spazio celeste, per noi più lontano, "
4176,"comincia a farsi tal, ch’alcuna stella",incomincia a diventare tale che qualche stella 
4177,perde il parere infino a questo fondo;,non è più visibile fin quaggiù sulla terra; 
4178,e come vien la chiarissima ancella,"e non appena l’aurora, luminosa ancella del sole, "
4179,"del sol più oltre, così ’l ciel si chiude","avanza, ecco che il cielo spegne a una a una "
4180,di vista in vista infino a la più bella.,le sue luci  fino alla più splendente.
4181,Non altrimenti il trïunfo che lude,Similmente gli angeli trionfanti che sempre
4182,"sempre dintorno al punto che mi vinse,",festeggiano intorno al punto divino che vinse il mio
4183,"parendo inchiuso da quel ch’elli ’nchiude,","sguardo, sembrando racchiuso dagli ordini angelici"
4184,a poco a poco al mio veder si stinse:,"che invece è Lui a circondare, poco per volta si"
4185,per che tornar con li occhi a Bëatrice,sbiadirono alla mia vista: per cui il non vedere più
4186,nulla vedere e amor mi costrinse.,niente e l’amore mi fecero voltare nuovamente gli occhi a Beatrice.
4187,Se quanto infino a qui di lei si dice,Se tutto quello che è stato detto di Beatrice
4188,"fosse conchiuso tutto in una loda,","fino a questo punto fosse riunito in un’unica lode,"
4189,poca sarebbe a fornir questa vice.,sarebbe insufficiente a descriverla ora. La bellezza
4190,La bellezza ch’io vidi si trasmoda,che io contemplai va oltre  non solo alle
4191,"non pur di là da noi, ma certo io credo","nostre possibilità, ma io ho per sicuro che soltanto"
4192,che solo il suo fattor tutta la goda.,Dio suo creatore possa comprenderla fino in fondo.
4193,Da questo passo vinto mi concedo,Mi riconosco vinto da questo punto della
4194,più che già mai da punto di suo tema,"narrazione, più di quanto mai un poeta comico o"
4195,soprato fosse comico o tragedo:,tragico sia stato superato  da un passo
4196,"ché, come sole in viso che più trema,","della sua opera; giacché, come il sole abbaglia"
4197,così lo rimembrar del dolce riso,"la vista più fragile, così il ricordare la dolcezza di"
4198,la mente mia da me medesmo scema.,quel sorriso fa venir meno  il mio intelletto a me stesso.
4199,Dal primo giorno ch’i’ vidi il suo viso,Dal primo momento in cui io vidi i suoi occhi
4200,"in questa vita, infino a questa vista,","nella vita mortale, fino a questa visione, non mi è"
4201,non m’è il seguire al mio cantar preciso;,mai stato impedito  di procedere nel mio
4202,ma or convien che mio seguir desista,canto; ma qui è necessario che il mio cammino
4203,"più dietro a sua bellezza, poetando,","rinunci a tener dietro alla sua bellezza con la poesia,"
4204,come a l’ultimo suo ciascuno artista.,come ogni artista che sia giunto al suo limite estremo.
4205,Cotal qual io lascio a maggior bando,Tanto bella che io l’affido a più capace voce
4206,"che quel de la mia tuba, che deduce","di quella della mia poesia ,"
4207,"l’ardüa sua matera terminando,","che sta portando a termine la sua difficile materia,"
4208,con atto e voce di spedito duce,Beatrice riprese con l’atteggiamento e la voce di
4209,ricominciò: «Noi siamo usciti fore,"una decisa guida: «Noi siamo usciti dal Primo Mobile,"
4210,del maggior corpo al ciel ch’è pura luce:,"il più grande dei corpi fisici, all’Empireo, il cielo"
4211,"luce intellettüal, piena d’amore;","che è formato di pura luce: luce intellettuale, ricolma"
4212,"amor di vero ben, pien di letizia;","di carità; carità per il vero bene, ricolmo di gioia;"
4213,letizia che trascende ogne dolzore.,gioia che supera qualunque dolcezza. 
4214,Qui vederai l’una e l’altra milizia,"Qui vedrai le due schiere del Paradiso ,"
4215,"di paradiso, e l’una in quelli aspetti",e la prima con l’aspetto che tu vedrai 
4216,che tu vedrai a l’ultima giustizia».,nel giorno del Giudizio universale ».
4217,Come sùbito lampo che discetti,Come un fulmine improvviso che disperda 
4218,"li spiriti visivi, sì che priva","le facoltà visive, privando l’occhio della sua funzione "
4219,"da l’atto l’occhio di più forti obietti,","di vedere altri oggetti diventati troppo intensi per lui, "
4220,"così mi circunfulse luce viva,",così io fui illuminato dalla luce divina
4221,e lasciommi fasciato di tal velo,che mi lasciò avvolto di una fascia del suo splendore 
4222,"del suo fulgor, che nulla m’appariva.","tanto forte, che non scorgevo nulla."
4223,«Sempre l’amor che queta questo cielo,"«La carità di Dio, che appaga  questo"
4224,"accoglie in sé con sì fatta salute,","cielo, riceve sempre dentro di sé con questo benefico saluto, "
4225,per far disposto a sua fiamma il candelo».,per rendere la candela adatta all’ardore del suo fuoco».
4226,Non fur più tosto dentro a me venute,Queste poche parole non giunsero a me 
4227,"queste parole brievi, ch’io compresi","più velocemente, di quanto io mi accorsi di crescere "
4228,me sormontar di sopr’ a mia virtute;,al di là della mia precedente forza; 
4229,e di novella vista mi raccesi,e ripresi a vedere  con una nuova capacità 
4230,"tale, che nulla luce è tanto mera,","visiva tanto intensa,  che non c’è nessuna luce "
4231,che li occhi miei non si fosser difesi;,"così fulgente , che il mio sguardo non potesse reggere; "
4232,e vidi lume in forma di rivera,e vidi una luce fiammante di splendore 
4233,"fulvido di fulgore, intra due rive","in forma di fiume , tra due rive adornate  "
4234,dipinte di mirabil primavera.,di una stupenda fioritura primaverile.
4235,"Di tal fiumana uscian faville vive,",Da questo fiume sprizzavano delle scintille
4236,"e d’ogne parte si mettien ne’ fiori,","ardenti, e andavano da ogni parte a porsi  "
4237,quasi rubin che oro circunscrive;,"dentro i fiori, come rubini incastonati nell’oro;"
4238,"poi, come inebrïate da li odori,","quindi, come se si fossero inebriate dei loro profumi,"
4239,"riprofondavan sé nel miro gurge,","si rigettavano nel meraviglioso gorgo, e mentre "
4240,"e s’una intrava, un’altra n’uscia fori.","una rientrava, altre ne uscivano."
4241,"«L’alto disio che mo t’infiamma e urge,",«Il profondo desiderio che ora  arde in
4242,"d’aver notizia di ciò che tu vei,",te e ti stimola  a sapere che cos’è ciò che
4243,tanto mi piace più quanto più turge;,"vedi, mi rende tanto più felice quanto più è intenso ;"
4244,ma di quest’ acqua convien che tu bei,"ma è necessario che tu beva  di quest’acqua santa, "
4245,prima che tanta sete in te si sazi»:,prima che la tua sete così forte possa essere saziata»: 
4246,così mi disse il sol de li occhi miei.,"questo mi disse Beatrice, luce dei miei occhi."
4247,Anche soggiunse: «Il fiume e li topazi,E aggiunse: «Il fiume di luce e quelle faville  
4248,ch’entrano ed escono e ’l rider de l’erbe,che si immergono e sprizzano da esso e i
4249,son di lor vero umbriferi prefazi.,fiori delle ridenti sue rive sono prefigurazioni  della loro verità. 
4250,Non che da sé sian queste cose acerbe;,Non è che tali cose siano di per sé imperfette ; 
4251,"ma è difetto da la parte tua,","piuttosto è un limite tuo, che non hai "
4252,che non hai viste ancor tanto superbe».,ancora occhi abbastanza potenti».
4253,Non è fantin che sì sùbito rua,Non esiste bambino  che corra tanto
4254,"col volto verso il latte, se si svegli","velocemente con lo sguardo alla mammella ,"
4255,"molto tardato da l’usanza sua,","se si sveglia tardi rispetto al solito, come feci io per"
4256,"come fec’ io, per far migliori spegli","rendere i miei occhi specchi ancora più efficaci,"
4257,"ancor de li occhi, chinandomi a l’onda",chinandomi sull’acqua di quel fiume che scorre
4258,che si deriva perché vi s’immegli;, affinché si diventi migliori  in esso; 
4259,e sì come di lei bevve la gronda,e non appena le mie ciglia  
4260,"de le palpebre mie, così mi parve","ebbero bevuto quell’acqua, subito mi sembrò "
4261,di sua lunghezza divenuta tonda.,che  da lungo che era fosse diventato circolare.
4262,"Poi, come gente stata sotto larve,","Quindi, come persone mascherate , "
4263,"che pare altro che prima, se si sveste","che si rivelano diverse da come apparivano,"
4264,"la sembianza non süa in che disparve,","se si tolgono le false sembianze nelle quali erano celate, "
4265,così mi si cambiaro in maggior feste,"così quei fiori e quelle faville si trasformarono in più gioiose letizie, "
4266,"li fiori e le faville, sì ch’io vidi",di modo che io potei contemplare chiaramente
4267,ambo le corti del ciel manifeste.,i due cori  del Paradiso.
4268,"O isplendor di Dio, per cu’ io vidi","O fulgore di Dio, grazie al quale io potei contemplare"
4269,"l’alto trïunfo del regno verace,","il sublime trionfo del regno della vera vita,"
4270,dammi virtù a dir com’ ïo il vidi!,concedimi la forza di ridirlo proprio come io lo vidi!
4271,Lume è là sù che visibile face,Nell’Empireo c’è un lume che rende visibile
4272,lo creatore a quella creatura,Dio  alle creature che trovano appagamento 
4273,che solo in lui vedere ha la sua pace.,alla loro felicità solo nel contemplare Lui.
4274,"E’ si distende in circular figura,","Questa luce si estende in forma circolare, tanto"
4275,in tanto che la sua circunferenza,che la sua circonferenza sarebbe troppo larga per
4276,sarebbe al sol troppo larga cintura.,cingere  il sole.
4277,Fassi di raggio tutta sua parvenza,Tutto ciò che appare di tale luce ha origine  
4278,"reflesso al sommo del mobile primo,","da un raggio che si riflette sulla parte più alta del Primo Mobile,"
4279,che prende quindi vivere e potenza.,il quale trae da qui la vita e la forza. 
4280,E come clivo in acqua di suo imo,"E come un colle si riflette in un lago posto ai suoi piedi , "
4281,"si specchia, quasi per vedersi addorno,","come se volesse vedersi tutto ornato, "
4282,"quando è nel verde e ne’ fioretti opimo,","nel periodo in cui è ricco di erba e di fiori, "
4283,"sì, soprastando al lume intorno intorno,",così io vidi tutte le anime tornate in Paradiso 
4284,vidi specchiarsi in più di mille soglie,"riflettersi in quel lago di luce, distribuite su innumerevoli "
4285,quanto di noi là sù fatto ha ritorno.,"gradini circolari, stando tutto intorno sopra a esso."
4286,E se l’infimo grado in sé raccoglie,E se il più basso di quei gradini riesce a contenere
4287,"sì grande lume, quanta è la larghezza","una luce tanto estesa, quale sarà l’ampiezza di questa "
4288,di questa rosa ne l’estreme foglie!,rosa di beati nei suoi petali più esterni!
4289,La vista mia ne l’ampio e ne l’altezza,La mia vista non si perdeva nella grandezza 
4290,"non si smarriva, ma tutto prendeva","e nell’altezza di quel luogo, anzi riusciva a cogliere "
4291,il quanto e ’l quale di quella allegrezza.,tutta l’estensione e l’intensità di quella beatitudine. 
4292,"Presso e lontano, lì, né pon né leva:",Nell’Empireo la vicinanza o la lontananza di qualcosa 
4293,"ché dove Dio sanza mezzo governa,",non aggiunge  e non toglie nulla: poiché dove Dio 
4294,la legge natural nulla rileva.,"governa direttamente, le leggi fisiche non contano nulla."
4295,"Nel giallo de la rosa sempiterna,",Al centro di quella rosa eterna che è disposta 
4296,che si digrada e dilata e redole,"a gradini e si allarga e spande profumo di lode a Dio, "
4297,"odor di lode al sol che sempre verna,","sole che crea eternamente primavera , "
4298,"qual è colui che tace e dicer vole,","Beatrice condusse me, che ero come colui"
4299,"mi trasse Bëatrice, e disse: «Mira","che vorrebbe parlare ma resta in silenzio, e mi disse:"
4300,quanto è ’l convento de le bianche stole!,«Ammira quanto è grande la comunità di queste candide vesti ! 
4301,Vedi nostra città quant’ ella gira;,Osserva quanto si estende in cerchio il nostro regno; 
4302,"vedi li nostri scanni sì ripieni,","osserva i nostri seggi quanto sono pieni, "
4303,che poca gente più ci si disira.,dato che ormai poche anime si attendono qui.
4304,E ’n quel gran seggio a che tu li occhi tieni,E su quel seggio regale che tu guardi per
4305,"per la corona che già v’è sù posta,","la corona che vi è posta, siederà, prima ancora che"
4306,"prima che tu a queste nozze ceni,","tu venga a questo banchetto di felicità, l’anima, che"
4307,"sederà l’alma, che fia giù agosta,","in terra sarà imperiale , del nobile Arrigo,"
4308,"de l’alto Arrigo, ch’a drizzare Italia",che verrà in Italia per riportarla sulla dritta strada
4309,verrà in prima ch’ella sia disposta.,prima di quando essa sia preparata ad accoglierlo.
4310,La cieca cupidigia che v’ammalia,La sordida avarizia che strega 
4311,simili fatti v’ha al fantolino,"voi uomini, vi ha resi simili all’infante  che"
4312,che muor per fame e caccia via la balia.,muore di fame e scaccia da sé la balia.
4313,E fia prefetto nel foro divino,E sarà a quel tempo capo  della Chiesa  
4314,"allora tal, che palese e coverto",un tale  che apertamente o 
4315,non anderà con lui per un cammino.,nascostamente non farà lo stesso cammino con lui. 
4316,Ma poco poi sarà da Dio sofferto,Ma per poco tempo poi sarà tollerato da Dio 
4317,nel santo officio; ch’el sarà detruso,sul trono pontificio: poiché egli verrà sprofondato 
4318,"là dove Simon mago è per suo merto,","in quel luogo in cui Simon mago si trova per le sue colpe,"
4319,e farà quel d’Alagna intrar più giuso».,e spingerà più in giù il papa di Anagni».
4320,In forma dunque di candida rosa,La santa schiera che Cristo redense  
4321,mi si mostrava la milizia santa,con la sua passione  si presentava
4322,che nel suo sangue Cristo fece sposa;,dunque in forma di bianca rosa; 
4323,"ma l’altra, che volando vede e canta","ma la schiera degli angeli, che volando contempla "
4324,la gloria di colui che la ’nnamora,"e loda la gloria di Dio, che suscita il suo amore , "
4325,"e la bontà che la fece cotanta,","e la sua carità che la creò tanto sublime,"
4326,sì come schiera d’ape che s’infiora,come uno sciame di api che prima  entra 
4327,una fïata e una si ritorna,nei fiori  e poi ritorna là dove il frutto 
4328,"là dove suo laboro s’insapora,","della sua fatica  diventa miele , "
4329,nel gran fior discendeva che s’addorna,così scendeva nel nobile fiore che si adorna 
4330,"di tante foglie, e quindi risaliva",di tanti petali  e poi risaliva dove 
4331,là dove ’l süo amor sempre soggiorna.,eternamente risiede l’oggetto del suo amore.
4332,Le facce tutte avean di fiamma viva,"I loro volti erano tutti ardenti, le ali d’oro, e"
4333,"e l’ali d’oro, e l’altro tanto bianco,","il resto della figura era così bianco, che nessuna"
4334,che nulla neve a quel termine arriva.,neve può giungere a tal punto  di candore.
4335,"Quando scendean nel fior, di banco in banco","Quando scendevano nella rosa dei beati,"
4336,porgevan de la pace e de l’ardore,di seggio in seggio donavano la pace e la carità che
4337,ch’elli acquistavan ventilando il fianco.,essi ricevevano volando  a Dio.
4338,Né l’interporsi tra ’l disopra e ’l fiore,E il fatto che un così grande numero di angeli
4339,di tanta moltitudine volante,in volo si interponesse tra Dio  e la rosa dei
4340,impediva la vista e lo splendore:,beati non ostacolava il vedere Dio e il suo fulgore:
4341,ché la luce divina è penetrante,poiché il raggio divino penetra nelle varie parti 
4342,"per l’universo secondo ch’è degno,","dell’universo a seconda di quanto esse lo meritino, così"
4343,sì che nulla le puote essere ostante.,che nessuna cosa può essergli d’ostacolo .
4344,"Questo sicuro e gaudïoso regno,","Questo eterno e gioioso Paradiso, popolato  "
4345,"frequente in gente antica e in novella,","di beati antichi e nuovi, aveva lo sguardo"
4346,viso e amore avea tutto ad un segno.,e il sentimento di tutti rivolti a un unico punto. 
4347,O trina luce che ’n unica stella,O luce della Trinità che tanto soddisfa i beati 
4348,"scintillando a lor vista, sì li appaga!",brillando ai loro occhi in un’unica stella! 
4349,guarda qua giuso a la nostra procella!,Rivolgiti quaggiù sulla terra alla tempesta umana!
4350,"Se i barbari, venendo da tal plaga","Se i barbari, scendendo da regioni così nordiche  "
4351,"che ciascun giorno d’Elice si cuopra,","da essere coperte tutti i giorni dall’Orsa Maggiore , "
4352,"rotante col suo figlio ond’ ella è vaga,","che ruota insieme al figlio  che tanto ama, "
4353,"veggendo Roma e l’ardüa sua opra,",restavano stupefatti quando vedevano Roma
4354,"stupefaciensi, quando Laterano","e i suoi eccelsi edifici , al tempo"
4355,a le cose mortali andò di sopra;,in cui il Laterano superò ogni altra cosa terrena; 
4356,"ïo, che al divino da l’umano,","di quanto stupore dovevo essere ricolmo  io, "
4357,"a l’etterno dal tempo era venuto,","che ero giunto dal mondo umano a quello divino,"
4358,"e di Fiorenza in popol giusto e sano,","dal mondo temporale  all’eternità, "
4359,di che stupor dovea esser compiuto!,da Firenze a questa gente giusta e santa!
4360,Certo tra esso e ’l gaudio mi facea,Certamente fra lo stupore e la gioia mi dava piacere  
4361,libito non udire e starmi muto.,non ascoltare e stare in silenzio.
4362,E quasi peregrin che si ricrea,"E come il pellegrino che si ristora gioioso,"
4363,"nel tempio del suo voto riguardando,","guardandosi intorno giunto nel tempio oggetto del suo voto,"
4364,"e spera già ridir com’ ello stea,","e pensa già a quando racconterà come esso è fatto,"
4365,"su per la viva luce passeggiando,","io, facendo scorrere lo sguardo con calma  "
4366,"menava ïo li occhi per li gradi,","lungo la luce viva, passavo di gradino in gradino,"
4367,"mo sù, mo giù e mo recirculando.","ora  in alto, ora in basso, e ora tutto intorno."
4368,"Vedëa visi a carità süadi,","Vedevo volti informati  di carità, ornati"
4369,"d’altrui lume fregiati e di suo riso,","di luce divina  e della propria letizia ,"
4370,e atti ornati di tutte onestadi.,e atteggiamenti adorni di sommo decoro.
4371,La forma general di paradiso,Il mio sguardo aveva già abbracciato l’aspetto
4372,"già tutta mïo sguardo avea compresa,","complessivo di quel Paradiso, senza essersi "
4373,in nulla parte ancor fermato fiso;,soffermato  su alcun punto particolare;
4374,e volgeami con voglia rïaccesa,"e mi stavo girando, con rinnovato desiderio di sapere, "
4375,per domandar la mia donna di cose,per chiedere a Beatrice alcune cose intorno 
4376,di che la mente mia era sospesa.,alle quali il mio pensiero era in dubbio.
4377,"Uno intendëa, e altro mi rispuose:","Pensavo di rivolgermi  a una persona,"
4378,credea veder Beatrice e vidi un sene,e mi rispose un’altra: credevo di vedere Beatrice
4379,vestito con le genti glorïose.,e vidi un vecchio  vestito come  le schiere dei beati. 
4380,Diffuso era per li occhi e per le gene,Negli occhi e nel volto  era
4381,"di benigna letizia, in atto pio","soffuso di amorevole gioia, in atteggiamento "
4382,quale a tenero padre si convene.,caritatevole proprio di un dolce padre.
4383,"E «Ov’ è ella?», sùbito diss’ io.",Allora subito chiesi: «Dov’è lei?». E quello mi
4384,Ond’ elli: «A terminar lo tuo disiro,"rispose: «Per completare  il tuo desiderio,"
4385,mosse Beatrice me del loco mio;,Beatrice mi ha fatto venire qui dal mio posto; 
4386,e se riguardi sù nel terzo giro,"e se guardi in su al terzo cerchio dal gradino più alto, "
4387,"dal sommo grado, tu la rivedrai",tu la potrai nuovamente vedere nel seggio  
4388,nel trono che suoi merti le sortiro».,che i suoi meriti le hanno destinato».
4389,"Sanza risponder, li occhi sù levai,","Senza rispondergli, alzai lo sguardo e vidi"
4390,e vidi lei che si facea corona,Beatrice che si circondava  di un’aureola 
4391,reflettendo da sé li etterni rai.,di luce riflettendo in sé i raggi divini. 
4392,Da quella regïon che più sù tona,Da quella zona del cielo in cui più in alto risuonano
4393,"occhio mortale alcun tanto non dista,","i tuoni non è lontana la vista di nessun uomo, "
4394,"qualunque in mare più giù s’abbandona,","neanche di quello che più si immerge nel mare, "
4395,quanto lì da Beatrice la mia vista;,tanto quanto distava la mia da Beatrice in quel luogo; 
4396,"ma nulla mi facea, ché süa effige","ma questo non aveva effetto, giacché la sua immagine "
4397,non discendëa a me per mezzo mista.,non giungeva a me offuscata dal mezzo fisico .
4398,"«O donna in cui la mia speranza vige,","«O Beatrice, donna dalla quale prende"
4399,e che soffristi per la mia salute,"forza  la mia speranza, e che hai sopportato"
4400,"in inferno lasciar le tue vestige,", di lasciare le tue sante impronte 
4401,"di tante cose quant’ i’ ho vedute,","nell’Inferno per la mia salvezza, di tutte le cose che"
4402,dal tuo podere e da la tua bontate,"io ho visto, riconosco che la Grazia e la forza mi"
4403,riconosco la grazia e la virtute.,sono derivate dal tuo potere e dalla tua carità.
4404,Tu m’hai di servo tratto a libertate,Tu mi hai condotto dalla schiavitù del peccato 
4405,"per tutte quelle vie, per tutt’ i modi",alla libertà dell’anima attraverso tutte le strade 
4406,che di ciò fare avei la potestate.,e con tutti i mezzi di cui avevi il potere per realizzare ciò. 
4407,"La tua magnificenza in me custodi,","Conserva in me il frutto della tua grandezza, "
4408,"sì che l’anima mia, che fatt’ hai sana,","di modo che la mia anima, che hai reso"
4409,piacente a te dal corpo si disnodi».,"pura, a te gradita si separi dal corpo»."
4410,"Così orai; e quella, sì lontana","Così io pregai ; e Beatrice, da tanto lontano "
4411,"come parea, sorrise e riguardommi;","quanto mi si mostrava, mi sorrise e mi guardò;"
4412,poi si tornò a l’etterna fontana.,"quindi si rivolse a Dio, fonte infinita di Grazia."
4413,E ’l santo sene: «Acciò che tu assommi,E quel vecchio beato mi disse: «Affinché
4414,"perfettamente», disse, «il tuo cammino,","tu possa completare definitivamente il tuo viaggio,"
4415,"a che priego e amor santo mandommi,",al cui fine la preghiera e la carità di Beatrice mi ha
4416,vola con li occhi per questo giardino;,"mandato a te, trascorri  con lo sguardo questa"
4417,ché veder lui t’acconcerà lo sguardo,"rosa beata , giacché il contemplarla"
4418,più al montar per lo raggio divino.,renderà la tua vista adatta a salire più in alto alla luce di Dio. 
4419,"E la regina del cielo, ond’ ïo ardo","E la Vergine, regina del cielo, per cui io"
4420,"tutto d’amor, ne farà ogne grazia,","avvampo tutto in amore, ci concederà tutta la grazia"
4421,però ch’i’ sono il suo fedel Bernardo».,"necessaria, poiché io sono il suo devoto Bernardo»."
4422,Qual è colui che forse di Croazia,E come il pellegrino che venga forse fin
4423,"viene a veder la Veronica nostra,",dalla Croazia per vedere a Roma il sudario della
4424,"che per l’antica fame non sen sazia,","Veronica, che non si stanca mai di contemplarlo"
4425,"ma dice nel pensier, fin che si mostra:","per il lungo desiderio avutone, ma dentro di sé"
4426,"‘Segnor mio Iesù Cristo, Dio verace,","ripete, durante tutta l’esposizione del sudario :"
4427,or fu sì fatta la sembianza vostra?’;,"‘Gesù, mio Signore, vero Dio, proprio così "
4428,tal era io mirando la vivace,"era il vostro volto?’; così mi sentivo io, "
4429,"carità di colui che ’n questo mondo,","mentre guardavo meravigliato l’intensa carità di colui, "
4430,"contemplando, gustò di quella pace.",che sulla terra pregustò la gioia di Paradiso nell’atto contemplativo.
4431,"«Figliuol di grazia, quest’ esser giocondo»,","Il santo riprese a dire: «O figlio della Grazia,"
4432,"cominciò elli, «non ti sarà noto,",l’essenza di questo regno beato non ti sarà manifesta
4433,tenendo li occhi pur qua giù al fondo;,finché guarderai solo a queste parti basse;
4434,"ma guarda i cerchi infino al più remoto,",contempla invece i gradini di questo anfiteatro fino
4435,tanto che veggi seder la regina,"al più alto e lontano, così da vedere  seduta la Madonna, "
4436,cui questo regno è suddito e devoto».,la regina al quale tutto il Paradiso è suddito e fedele».
4437,Io levai li occhi; e come da mattina,Io alzai gli occhi; e come di mattina la parte
4438,la parte orïental de l’orizzonte,verso oriente del cielo supera in luminosità quella
4439,"soverchia quella dove ’l sol declina,","occidentale , parimenti, come se"
4440,"così, quasi di valle andando a monte",alzassi lo sguardo dal fondo di una valle alla cima
4441,"con li occhi, vidi parte ne lo stremo","dei monti, io vidi un punto all’estremità della rosa"
4442,vincer di lume tutta l’altra fronte.,che vinceva in splendore il resto dell’ultimo gradino .
4443,E come quivi ove s’aspetta il temo,E come in terra il punto da cui si attende il
4444,"che mal guidò Fetonte, più s’infiamma,","carro del sole  che Fetonte non seppe controllare, "
4445,"e quinci e quindi il lume si fa scemo,","avvampa più intenso mentre ai lati la luce diminuisce , "
4446,così quella pacifica oriafiamma,similmente quello splendente stendardo  
4447,"nel mezzo s’avvivava, e d’ogne parte","portatore di pace ardeva nel suo punto centrale, "
4448,per igual modo allentava la fiamma;,e ai lati in egual misura la luce diminuiva;
4449,"e a quel mezzo, con le penne sparte,",e vidi più di mille angeli che facevano festa 
4450,"vid’ io più di mille angeli festanti,","a quel punto centrale  con le ali aperte , "
4451,ciascun distinto di fulgore e d’arte.,ognuno differenziato dall’altro in splendore e in atteggiamento .
4452,Vidi a lor giochi quivi e a lor canti,Lì vidi sorridere ai loro voli festosi e ai loro
4453,"ridere una bellezza, che letizia","cori soavi una figura di tanta bellezza, che rifletteva"
4454,era ne li occhi a tutti li altri santi;,letizia nello sguardo di tutti gli altri beati;
4455,e s’io avessi in dir tanta divizia,e se pure possedessi tanta ricchezza  nell’esprimermi 
4456,"quanta ad imaginar, non ardirei","quanta ne ho nel conservarne l’immagine, "
4457,lo minimo tentar di sua delizia.,non tenterei comunque di descrivere quella bellezza.
4458,"Bernardo, come vide li occhi miei","S. Bernardo, non appena vide i miei occhi"
4459,"nel caldo suo caler fissi e attenti,","fissamente assorti nell’ardente fiamma di carità  ,"
4460,"li suoi con tanto affetto volse a lei,","rivolse a lei anche il suo sguardo con tanto amore,"
