,Paradiso,gpt_parafrasi
1485," Quel medesmo che vuol provarsi, non altri, il ti giura»",Le Scritture forniscono la prova che devi ancora dimostrare come esse siano ispirate.
1486," «Se ’l mondo si rivolse al cristianesmo», diss’ io, ","Io dissi: ""Il mondo è diventato cristiano""."
1487," «sanza miracoli, quest’ uno è tal, che li altri non sono il centesmo","Senza alcuna conferma, questo unico evento è tale da far sembrare insignificanti qualsiasi altro punto a confronto."
1488," ché tu intrasti povero e digiuno in campo, a seminar la buona pianta che fu già vite e ora è fatta pruno»","Quando tu entraste in campo, povero e senza aver fatto nulla prima, hai seminato la buona pianta, che un tempo era vite ma ora è diventata un pruno."
1489," Finito questo, l’alta corte santa risonò per le spere un ‘Dio laudamo’ ne la melode che là sù si canta","Terminato il colloquio, un canto di lode 'Te, Deum laudamus' risuonò nell'alto dei cieli secondo la melodia peculiare del Paradiso."
1490," E quel baron che sì di ramo in ramo, essaminando, già tratto m’avea, che a l’ultime fronde appressavamo, ricominciò"," a parlareIl barone, che mi stava esaminando passando da un argomento all'altro, e ci stavamo avvicinando alle ultime fronde, riprese a parlare."
1491," «La Grazia, che donnea con la tua mente, la bocca t’aperse infino a qui come aprir si dovea, sì ch’io approvo ciò che fuori emerse","«La Grazia, che signoreggia la tua mente, ti aprì la bocca fin qui come era giusto, cosicché io approvo quello che hai detto"
1492," ma or convien espremer quel che credi, e onde a la credenza tua s’offerse»","Adesso è assolutamente essenziale che tu esprima la tua fede, e faccia sapere da dove vieni."
1493," «O santo padre, e spirito che vedi ciò che credesti sì, che tu vincesti ver’ lo sepulcro più giovani piedi», ","o santo padre, e spirito celeste, visualizza ora quello in cui avevi fede con un'intensità tale che corresti più velocemente del tempo al sepolcro di Cristo giovane."
1494," comincia’ io, ",io iniziai
1495," «tu vuo’ ch’io manifesti la forma qui del pronto creder mio, e anche la cagion di lui chiedesti",Mi hai domandato di spiegare l'essenza della mia fede e da dove provenga.
1496," E io rispondo",ed io rispondo
1497," Io credo in uno Dio solo ed etterno, che tutto ’l ciel move, non moto, con amore e con disio","Credo in un Dio eterno, che pur rimanendo immutabile governa l'Universo con amore e aspirazione alla perfezione."
1498," e a tal creder non ho io pur prove fisice e metafisice, ",Non ho prove tangibili o intangibili per dimostrare questa convinzione.
1499," ma dalmi anche la verità che quinci piove per Moïsè, ",ma dimmi anche la verità che qui piove per Mosè
1500," per profeti e per salmi, per l’Evangelio e per voi che scriveste poi che l’ardente Spirto vi fé almi","Per mezzo dei profeti, salmi, Vangelo e scritti ispirati dallo Spirito Santo siete diventate anime."
1501," e credo in tre persone etterne, e queste credo una essenza sì una e sì trina, che soffera congiunto ‘sono’ ed ‘este’","Credo nell'esistenza di una trinità divina, così che ""egli"" possa essere considerato allo stesso tempo come Uno e Trino."
1502," De la profonda condizion divina ch’io tocco mo, la mente mi sigilla più volte l’evangelica dottrina","I messaggi del Vangelo mi convincono ripetutamente della profondità dell'essenza di Dio, su cui sto discorrendo."
1503," Quest’ è ’l principio, quest’ è la favilla che si dilata in fiamma poi vivace, e come stella in cielo in me scintilla»","Questo è l'inizio della mia fede, una scintilla che si espande in una fiamma ardente e splende dentro di me come una stella nel cielo."
1504," Come ’l segnor ch’ascolta quel che i piace, da indi abbraccia il servo, gratulando per la novella, tosto ch’el si tace","Come un padrone che era pronto ad ascoltare ciò che desiderava sentire, abbracciò il servo con entusiasmo quando le sue parole cessarono, per festeggiare la buona notizia."
1505," così, benedicendomi cantando, tre volte cinse me, sì com’ io tacqui, l’appostolico lume al cui comando io avea detto","benedicendomi e intonando un canto, il lume apostolico al quale avevo obbedito mi circondò tre volte alla fine della mia preghiera."
1506," sì nel dir li piacqui",Gli erano piaciute così tanto le mie parole.
1507," Se mai continga che ’l poema sacro al quale ha posto mano e cielo e terra, sì che m’ha fatto per molti anni macro, ","Se mai dovesse capitare che la poesia sacra alla quale hanno contribuito Cielo e Terra, e che mi ha assorbito fisicamente per un lungo periodo di tempo,"
1508," vinca la crudeltà che fuor mi serra del bello ovile ov’ io dormi’ agnello, nimico ai lupi che li danno guerra","Vinca la bontà che mi ha accolto come un agnello nell'ovile, al riparo dai lupi miei nemici."
1509," con altra voce omai, con altro vello ritornerò poeta, e in sul fonte del mio battesmo prenderò ’l cappello","Tornando lì come poeta, con voce ben diversa e i capelli canuti, mi adagio sulle sorgenti del mio battesimo ornandomi le tempie con la corona poetica dell'alloro."
1510," però che ne la fede, che fa conte l’anime a Dio, quivi intra’ io, e poi Pietro per lei sì mi girò la fronte",Fu lì che entrai nella fede di Dio; san Pietro poi passò intorno alla mia fronte dopo avermi interrogato su quella particolare virtù.
1511," Indi si mosse un lume verso noi di quella spera ond’ uscì la primizia che lasciò Cristo d’i vicari suoi",Un altro spirito si avvicinò a noi da quel semicerchio di esseri che generò il primo dei rappresentanti che Gesù lasciò in Terra.
1512," e la mia donna, piena di letizia, mi disse","e la mia donna, con una grande gioia mi disse"
1513," «Mira, mira","guarda, guarda"
1514," ecco il barone per cui là giù si vicita Galizia»",le persone vanno in pellegrinaggio a Galizia per venerare il santo lì presente.
1515," Sì come quando il colombo si pone presso al compagno, l’uno a l’altro pande, girando e mormorando, l’affezione","Quando il colombo si avvicina al suo partner, volteggiandosi e cantando dolcemente per esprimere l'amore che provano l'uno per l'altro."
1516," così vid’ ïo l’un da l’altro grande principe glorïoso essere accolto, laudando il cibo che là sù li prande","Vidi i due beati gloriosi, accolto l'un l'altro con lodi per il cibo spirituale che li nutre nella gloria."
1517," Ma poi che ’l gratular si fu assolto, tacito coram me ciascun s’affisse, ignito sì che vincëa ’l mio volto","Dopo aver trascorso qualche istante esultanti, entrambi i miei compagni rimasero in silenzio accanto a me, emettendo una luce così brillante che non potevo sopportarne la visione."
1518," Ridendo allora Beatrice disse",Beatrice allora ridendo disse
1519," «Inclita vita per cui la larghezza de la nostra basilica si scrisse, fa risonar la spene in questa altezza","«Oh, anima di grande talento, che hai narrato della magnanimità del Paradiso, elenca la speranza in questa nobiltà.»"
1520," tu sai, che tante fiate la figuri, quante Iesù ai tre fé più carezza»","Tu la conosci molto bene, in quanto hai raffigurato spesso i segni dell’affetto che Gesù mostrò a te e ai tuoi due compagni."
1521," «Leva la testa e fa che t’assicuri"," sei più forte di quello che credi»Rialzati e ritrova la tua fiducia, perchè hai più potere di quanto tu non pensi."
1522," che ciò che vien qua sù del mortal mondo, convien ch’ai nostri raggi si maturi»",Tutto ciò che arriva da terra deve essere trasformato dalla nostra luce.
1523," Questo conforto del foco secondo mi venne",La seconda luce mi diede un incoraggiamento.
1524," ond’ io leväi li occhi a’ monti che li ’ncurvaron pria col troppo pondo","Quando alzai gli occhi, i monti sembravano chinarsi sotto il loro enorme carico."
1525," «Poi che per grazia vuol che tu t’affronti lo nostro Imperadore, anzi la morte, ne l’aula più secreta co’ suoi conti, ","Per volontà dell'Imperatore, hai il privilegio di incontrare i suoi alti dignitari nella stanza più segreta prima di passare a miglior vita."
1526," sì che, veduto il ver di questa corte, la spene, che là giù bene innamora, "," non è piùUna volta che la realtà di questo tribunale era stata rivelata, l'illusione che aveva attirato tanto in quel luogo scomparve."
1527," in te e in altrui di ciò conforte, ",Questo possa portare un senso di sicurezza a te e alle altre persone.
1528," di’ quel ch’ell’ è, di’ come se ne ’nfiora la mente tua, e dì onde a te venne»"," l’ideaEsprimi chiaramente i tuoi pensieri, descrivi come essi sono stati collegati tra di loro e specifica da dove ha avuto origine la tua idea."
1529," Così seguì ’l secondo lume ancora",Il secondo beato mi riferì questo
1530," E quella pïa che guidò le penne de le mie ali a così alto volo, a la risposta così mi prevenne","Lei, una donna magnifica, guidò le mie ali verso il cielo a grande altezza e scattò prima di me nella risposta."
1531," «La Chiesa militante alcun figliuolo non ha con più speranza, com’ è scritto nel Sol che raggia tutto nostro stuolo","La Chiesa militante non ha nessun altro membro con un'aspettativa più grande di Dante, come è riferito nel Sole che illumina tutti noi."
1532," però li è conceduto che d’Egitto vegna in Ierusalemme per vedere, anzi che ’l militar li sia prescritto","Perciò gli è stato permesso di viaggiare dall'Egitto alla Gerusalemme celeste, per ammirare prima che la morte abbia termine al suo servizio militare."
1533," Li altri due punti, che non per sapere son dimandati, ma perch’ ei rapporti quanto questa virtù t’è in piacere, a lui lasc’ io, ","Io gli affido le altre due domande, non per saperne di più sulla virtù che ti rende felice, ma in modo che possa riferire al mondo quanto sei soddisfatto di questa qualità."
1534," ché non li saran forti né di iattanza","Non ci sarà niente di eccessivamente complicato per lui, né avrà motivo di vantarsene."
1535," ed elli a ciò risponda, e la grazia di Dio ciò li comporti»","Dunque, segua le proprie convinzioni e che la benevolenza divina lo accompagni in questo."
1536," Come discente ch’a dottor seconda pronto e libente in quel ch’elli è esperto, ",Similmente a uno studente che sottopone le sue conoscenze al maestro con solerzia e buona disposizione verso l'argomento di cui è esperto.
1537," perché la sua bontà si disasconda, «Spene», diss’ io, ","Esprimendo la mia conoscenza, pronunciai  ""La speranza""."
1538," «è uno attender certo de la gloria futura, il qual produce grazia divina e precedente merto"," dalla giustizia di Cristo»È l'aspettativa certa della benedizione future, che deriva sia dal favore divino che dalle ricompense ottenute attraverso la giustizia di Gesù Cristo."
1539," Da molte stelle mi vien questa luce",Questa luce è una creazione di molte stelle.
1540," ma quei la distillò nel mio cor pria che fu sommo cantor del sommo duce",colui che ha iniziato a riempire il mio cuore di amore fu il cantante più sublime di Dio.
1541," ‘Sperino in te’, ne la sua tëodia dice, ‘color che sanno il nome tuo’","'Coloro che sanno il Tuo nome', cantò, 'possano confidare in Te'"
1542," e chi nol sa, s’elli ha la fede mia? ",Chi non può rivendicare la mia fede?
1543," Tu mi stillasti, con lo stillar suo, ne la pistola poi",Tu e lui mi avete ispirato la fiducia con la vostra Epistola.
1544," sì ch’io son pieno, e in altrui vostra pioggia repluo»",In modo da essere ricolmo di tale virtù e in grado di condividerla con gli altri.
1545," Mentr’ io diceva, dentro al vivo seno di quello incendio tremolava un lampo sùbito e spesso a guisa di baleno","Mentre parlavo, una luce intensa e intermittente tremolava nella profondità vivace di quella scena, simile ai bagliori di un lampo."
1546," Indi spirò",quindi disse
1547," «L’amore ond’ ïo avvampo ancor ver’ la virtù che mi seguette infin la palma e a l’uscir del campo, ","Il legame emotivo che provavo per la speranza che mi accompagnava nei momenti più difficili della mia esistenza, mi pervade oltre il confine del trapasso."
1548," vuol ch’io respiri a te che ti dilette di lei","vuole che io mi rivolga a te, abbondante di essa"
1549," ed emmi a grato che tu diche quello che la speranza ti ’mpromette»",È per me un piacere che tu possa dire ciò che la speranza ti promette.
1550," E io"," te amoTi adoro"
1551," «Le nove e le scritture antiche pongon lo segno, ed esso lo mi addita, de l’anime che Dio s’ha fatte amiche",Entrambi i Testamenti della Bibbia delineano il destino finale delle anime che hanno raggiunto la felicità eterne.
1552," Dice Isaia che ciascuna vestita ne la sua terra fia di doppia vesta",Isaia sostiene che ciascuno nella sua terra porterà due strati di abbigliamento.
1553," e la sua terra è questa dolce vita",e la sua vita è questa terra benedetta.
1554," e ’l tuo fratello assai vie più digesta, là dove tratta de le bianche stole, questa revelazion ci manifesta»",Tuo fratello spiega questa rivelazione in modo ancora più evidente quando discute delle stole bianche.
1555," E prima, appresso al fin d’este parole, ‘Sperent in te’ di sopr’ a noi s’udì","A conclusione di questo discorso, in alto a noi risuonò 'Sperino in Te'"
1556," a che rispuoser tutte le carole",tutte le corone si unirono insieme
1557," Poscia tra esse un lume si schiarì sì che, se ’l Cancro avesse un tal cristallo, l’inverno avrebbe un mese d’un sol dì","Allora tra di loro brillò una luce così luminosa, che se la costellazione del Cancro avesse un astro simile, sarebbe stato come avere giornate invernali della durata di un mese."
1558," E come surge e va ed entra in ballo vergine lieta, sol per fare onore a la novizia, non per alcun fallo, ","Come una ragazza raggiante, si erge e prende parte alla danza in onore della nuova sposa, non di superbia ma di gioioso rispetto."
1559," così vid’ io lo schiarato splendore venire a’ due che si volgieno a nota qual conveniesi al loro ardente amore","Mentre guardavo, la luce accecante si avvicinò alle altre due che giravano e cantavano in una commovente esplosione di amore."
1560," Misesi lì nel canto e ne la rota",Unì le proprie dita a quelle di loro e si unì con un volubile canto.
1561," e la mia donna in lor tenea l’aspetto, pur come sposa tacita e immota","lei teneva gli occhi inchiodati su di loro, come se fosse una sposa muta e ferma."
1562," «Questi è colui che giacque sopra ’l petto del nostro pellicano, e questi fue di su la croce al grande officio eletto»",Costui fu designato dalla croce per l'alto incarico di appoggiare la testa sull'addome di Cristo.
1563," La donna mia così"," ed io potremmo stare insiemeCosì la mia compagna e io potremmo uniteci."
1564," né però più e mosser la vista sua di stare attenta poscia che prima le parole sue",".nonostante ciò, prima e dopo aver espresso il suo pensiero, fissava ancora le tre luci."
1565," Qual è colui ch’adocchia e s’argomenta di vedere eclissar lo sole un poco, che, per veder, non vedente diventa","Come uno che tenta di vedere un'eclissi parziale di sole, ma diventa cieco dalla sua stessa sete per l'esperienza."
1566," tal mi fec’ ïo a quell’ ultimo foco mentre che detto fu","Guardavo in direzione di quel terzo faro, mentre un santo mi dichiarava"
1567," «Perché t’abbagli per veder cosa che qui non ha loco? ",Perché stai cercando qualcosa che non è presente?
1568," In terra è terra il mio corpo, e saragli tanto con li altri, che ’l numero nostro con l’etterno proposito s’agguagli",Tutti i miei resti mortali si ammasseranno sulla Terra insieme a quelli di altri finché non sarà soddisfatto il numero stabilito da Dio.
1569," Con le due stole nel beato chiostro son le due luci sole che saliro","Nel chiostro santo, due sedie sono illuminate da soli due lumi accesi."
1570," e questo apporterai nel mondo vostro»","Quando tornerai sulla Terra, ricorderai questo."
1571," A questa voce l’infiammato giro si quïetò con esso il dolce mischio che si facea nel suon del trino spiro, ","La danza delle tre luci si fermò, interrompendo la melodia della loro canzone all'inizio di queste parole."
1572," sì come, per cessar fatica o rischio, li remi, pria ne l’acqua ripercossi, tutti si posano al sonar d’un fischio","Quand'il fischio risuona, tutti i remi vengono messi a riposo dall'acqua, come per prevenire ulteriori sforzi o possibili rischi."
1573," Ahi quanto ne la mente mi commossi, quando mi volsi per veder Beatrice, per non poter veder, benché io fossi presso di lei, ","Fui colto nel profondo dal dispiacere quando mi voltai in cerca di Beatrice, ma nonostante fossimo vicini, non riuscivo a vederla."
1574," e nel mondo felice",Nell'universo della felicità perpetua
1575," Mentr’ io dubbiava per lo viso spento, de la fulgida fiamma che lo spense uscì un spiro che mi fece attento, dicendo","Mentre ero dubbioso riguardo al mio campo visivo annebbiato, una voce si levò dalla luce vivace che lo aveva appannato, catturando la mia attenzione con le sue parole."
1576," «Intanto che tu ti risense de la vista che haï in me consunta, ben è che ragionando la compense","Mentre recuperi la visione che hai perduto osservandomi, sarebbe corretto colmare questa carenza applicando il tuo intelletto."
1577," Comincia dunque",Così comincia
1578," e dì ove s’appunta l’anima tua, e fa ragion che sia la vista in te smarrita e non defunta","e scopri dove t'invoglia il tuo spirito, non dimenticando che c'è ancora speranza per te."
1579," perché la donna che per questa dia regïon ti conduce, ha ne lo sguardo la virtù ch’ebbe la man d’Anania»","La guida di questa regione celeste che ti accompagna, porta con sé nello sguardo la stessa virtù che Anania aveva nel proprio gesto."
1580," Io dissi",io dissi
1581," «Al suo piacere e tosto e tardo vegna remedio a li occhi, che fuor porte quand’ ella entrò col foco ond’ io sempr’ ardo","Che possa curare, in anticipo o in ritardo, i miei occhi mediante cui Lei ha introdotto il fuoco che mi arde incessantemente."
1582," Lo ben che fa contenta questa corte, Alfa e O è di quanta scrittura mi legge Amore o lievemente o forte»","L'amore mi insegna che il bene che dona allegria a questo luogo è sia l'inizio che la fine di ogni emozione, più o meno profonda."
1583," Quella medesma voce che paura tolta m’avea del sùbito abbarbaglio, di ragionare ancor mi mise in cura"," più prudenteCon quella stessa consapevolezza che aveva alleviato la mia ansia dall'improvvisa luce accecante, mi sentii incoraggiato ad adottare un approccio più cautelativo."
1584," e disse",e disse
1585," «Certo a più angusto vaglio ti conviene schiarar",Penso che prendere una griglia più sottile sarebbe adeguato per fare chiarezza sui tuoi pensieri.
1586," dicer convienti chi drizzò l’arco tuo a tal berzaglio»",Chi ha direzionato la tua freccia a questa destinazione?
1587," E io",ed io
1588," «Per filosofici argomenti e per autorità che quinci scende cotale amor convien che in me si ’mprenti",Riconosco l'amore che ho provato a causa della profondità filosofica e dall'autorità emanante da qui.
1589," ché ’l bene, in quanto ben, come s’intende, così accende amore, e tanto maggio quanto più di bontate in sé comprende","In effetti, più grande è la bontà che un bene presenta, più amore di sé cresce nella mente dell'osservatore quando si rendono conto del suo valore."
1590," Dunque a l’essenza ov’ è tanto avvantaggio, che ciascun ben che fuor di lei si trova altro non è ch’un lume di suo raggio, ","Allora, in relazione a questo beneficio massiccio, ogni cosa visibile è quasi come una debole scintilla della sua illuminazione."
1591," più che in altra convien che si mova la mente, amando, di ciascun che cerne il vero in che si fonda questa prova","La tua mente deve viaggiare, amorevolmente, in giro per trovare la verità che sta alla base di questo esercizio."
1592," Tal vero a l’intelletto mio sterne colui che mi dimostra il primo amore di tutte le sustanze sempiterne",L'illuminazione di quella verità sulla prima forma d'amore eterno è stata spiegata al mio intelletto da quel filosofo.
1593," Sternel la voce del verace autore, che dice a Moïsè, di sé parlando","La voce del vero autore, parlando a Mosè di se stesso, gli ha esposto l'argomento."
1594," ‘Io ti farò vedere ogne valore’",Ti illustrerò tutte le cose buone.
1595," Sternilmi tu ancora, incominciando l’alto preconio che grida l’arcano di qui là giù sovra ogne altro bando»","«Per favore, spiegami tu stesso il grande annuncio che svela il segreto da qui alla Terra ed è più importante di qualsiasi altra comunicazione.»"
1596," E io udi’",ed io sentii
1597," «Per intelletto umano e per autoritadi a lui concorde d’i tuoi amori a Dio guarda il sovrano"," «Attraverso il pensiero umano e l'autorità delle Sacre Scritture che si accordano con questo, il principale dei tuoi amori guarda a Dio"
1598," Ma dì ancor se tu senti altre corde tirarti verso lui, sì che tu suone con quanti denti questo amor ti morde»","Vorrei sapere se ci sono altri aspetti che ti spingono verso Dio, in modo da capire quanto tu sia innamorato di Lui."
1599," Non fu latente la santa intenzione de l’aguglia di Cristo, anzi m’accorsi dove volea menar mia professione",Immediatamente mi resi conto della sacra aspirazione dell'aquila di Cristo circa la mia vocazione al servizio caritatevole.
1600," Però ricominciai",Così ripresi.
1601," «Tutti quei morsi che posson far lo cor volgere a Dio, a la mia caritate son concorsi",Tutte le cose che spingono il mio spirito verso Dio hanno aiutato ad alimentare la mia bontà.
1602," ché l’essere del mondo e l’esser mio, la morte ch’el sostenne perch’ io viva, e quel che spera ogne fedel com’ io, ","Tutti i credenti sperano, come io spero, che l'esistenza del mondo e di me stesso venga salvata a costo della morte."
1603," con la predetta conoscenza viva, tratto m’hanno del mar de l’amor torto, e del diritto m’han posto a la riva","In seguito all'informazione appresa, mi hanno strappato alle acque agitate dell'amore sbagliato e mi hanno condotto su una spiaggia di quello giusto."
1604," Le fronde onde s’infronda tutto l’orto de l’ortolano etterno, am’ io cotanto quanto da lui a lor di bene è porto»","L'ortolano eterno prova amore per le fronde che decorano il suo orto, allo stesso modo in cui io ne sono affascinata."
1605," Sì com’ io tacqui, un dolcissimo canto risonò per lo cielo, e la mia donna dicea con li altri","Non appena ebbi finito di parlare, un coro melodioso echeggiò in lontananza mentre la mia compagna si univa al canto insieme agli altri."
1606," «Santo, santo, santo»","Santissimo, santissimo, santissimo."
1607," E come a lume acuto si disonna per lo spirto visivo che ricorre a lo splendor che va di gonna in gonna, ","Come una sveglia, la facoltà visiva si risveglia per il bagliore che passa attraverso le membrane dell'occhio."
1608," e lo svegliato ciò che vede aborre, sì nescïa è la sùbita vigilia fin che la stimativa non soccorre","Quando si sveglia, con gli occhi ancora confusi dal repentino risveglio, non riesce a distinguere chiaramente ciò che vede finché la sua mente non comincia a percepire."
1609," così de li occhi miei ogne quisquilia fugò Beatrice col raggio d’i suoi, che rifulgea da più di mille milia","Il bagliore luminoso di Beatrice brillava fino a mille miglia di distanza, ed eliminò le impurità dalle mie pupille."
1610," onde mei che dinanzi vidi poi",Riuscii a veder meglio rispetto a prima
1611," e quasi stupefatto domandai d’un quarto lume ch’io vidi tra noi","Chiesi stupito, ""chi è il quarto che vedo con noi?"""
1612," E la mia donna",La mia compagna
1613," «Dentro da quei rai vagheggia il suo fattor l’anima prima che la prima virtù creasse mai»",All'interno di quell'incanto c'è l'essenza originale prodotta dalla prima virtù.
1614," Come la fronda che flette la cima nel transito del vento, e poi si leva per la propria virtù che la soblima, ","L'albero piega sulla cima quando colpito dalle folate di vento, ma poi ritrova la forza di tornare a ergersi verso l'alto."
1615," fec’ io in tanto in quant’ ella diceva, stupendo, e poi mi rifece sicuro un disio di parlare ond’ ïo ardeva","così feci io mentre lei parlava, essendo molto stupito, e poi mi ridiede sicurezza un desiderio di parlare che mi tormentava"
1616," E cominciai",Cominciai
1617," «O pomo che maturo solo prodotto fosti, o padre antico a cui ciascuna sposa è figlia e nuro, ","«O antica progenitrice, al cui fianco ogni donna è figlia e nuora, che generasti frutti già maturi dal tuo corpo unico."
1618," divoto quanto posso a te supplìco perché mi parli","con profonda devozione, ti chiedo gentilmente di parlarmi"
1619," tu vedi mia voglia, e per udirti tosto non la dico»","Sperando di sentirti presto, tengo celato il mio desiderio dai tuoi occhi."
1620," Talvolta un animal coverto broglia, sì che l’affetto convien che si paia per lo seguir che face a lui la ’nvoglia","Un animale racchiuso in un sacco agita i suoi movimenti, esponendo l'emozione che sta provando tramite la contenitura che lo accompagna."
1621," e similmente l’anima primaia mi facea trasparer per la coverta quant’ ella a compiacermi venìa gaia",La prima anima mi faceva comprendere attraverso la sua lucentezza quanto fosse felice di potermi rispondere.
1622," Indi spirò",quindi disse
1623," «Sanz’ essermi proferta da te, la voglia tua discerno meglio che tu qualunque cosa t’è più certa","Nonostante tu non abbia espresso i tuoi desideri in parole, capisco cosa vorresti meglio di qualunque altra certezza."
1624," perch’ io la veggio nel verace speglio che fa di sé pareglio a l’altre cose, e nulla face lui di sé pareglio","Vedo nello specchio incontestabile che riflette qualsiasi cosa, ma nessuna può riflettere se stesso."
1625," Tu vuogli udir quant’ è che Dio mi puose ne l’eccelso giardino, ",Vorresti sapere da quanto tempo Dio mi ha collocato in questo delizioso giardino
1626," ove costei a così lunga scala ti dispuose, e quanto fu diletto a li occhi miei, ","Il punto di partenza della tua carriera è stato qui, e quanto tempo ci hai trascorso."
1627," e la propria cagion del gran disdegno, e l’idïoma ch’usai e che fei","La vera ragione dell'ira divina, e quali parole io ho usato per creare."
1628," Or, figluol mio, non il gustar del legno fu per sé la cagion di tanto essilio, ma solamente il trapassar del segno","Mio caro figlio, l'esilio a cui fui sottoposto non fu dovuto al mio aver mangiato il frutto proibito, ma solo per essermi appropriato di qualcosa contro le regole."
1629," Quindi onde mosse tua donna Virgilio, quattromilia trecento e due volumi di sol desiderai questo concilio","Io sperai di poter salire al Cielo, in quello stesso luogo da cui Beatrice aveva evocato Virgilio, per quattromilatrecento e due anni."
1630," e vidi lui tornare a tutt’ i lumi de la sua strada novecento trenta fïate, mentre ch’ïo in terra fu’mi","Ho visto il Sole esplorare tutti i segni dello zodiaco nell'arco della mia breve vita terrena, per un totale di novecentotrenta volte."
1631," La lingua ch’io parlai fu tutta spenta innanzi che a l’ovra inconsummabile fosse la gente di Nembròt attenta","Prima che gli abitanti di Nembrod iniziassero un lavoro incapace di essere finito, la lingua che avevo parlato già era svanita."
1632," ché nullo effetto mai razïonabile, per lo piacere uman che rinovella seguendo il cielo, sempre fu durabile",Nessuna idea creata dall'uomo è duratura a causa della mutevole attitudine degli esseri umani in risposta alle varie influenze che vengono dall'alto.
1633," Opera naturale è ch’uom favella",Parlare è un comportamento innato dell'uomo.
1634," ma così o così, natura lascia poi fare a voi secondo che v’abbella",la natura lascia che gli uomini esprimano i propri desideri e preferenze con le parole come preferiscono.
1635," Pria ch’i’ scendessi a l’infernale ambascia, I s’appellava in terra il sommo bene onde vien la letizia che mi fascia","Prima che mi ritrovassi ad affrontare la profonda disillusione , il bene supremo dagli infiniti doni di felicità e serenità veniva chiamato sulla terra 'I'."
1636," e El si chiamò poi",In seguito fu soprannominato 'El'.
1637," e ciò convene, ché l’uso d’i mortali è come fronda in ramo, che sen va e altra vene",La condizione umana può essere paragonata ad una foglia che sorge e cade costantemente su un ramo.
1638," Nel monte che si leva più da l’onda, fu’ io, con vita pura e disonesta, ","Io trascorsi un tempo nella maestosa montagna che incombeva sul mare, senza nessun peccato e con alcune colpe."
1639," da la prim’ ora a quella che seconda, come ’l sol muta quadra, l’ora sesta»","Da mezzogiorno fino al tramonto, quando il Sole cambia posizione sull'orizzonte."
1640,"‘Al Padre, al Figlio, a lo Spirito Santo’, cominciò, ‘gloria’, "," 'Gloriaal Padre, al Figlio e allo Spirito Santo', cominciò"
1641,"tutto ’l paradiso, sì che m’inebrïava il dolce canto",tutto il paradiso era così dolcemente melodioso da inebriarmi
1642," Ciò ch’io vedeva mi sembiava un riso de l’universo",Quello che io guardavo mi appariva come il sorriso dell'Universo.
1643," per che mia ebbrezza intrava per l’udire e per lo viso",L'ebbrezza mi pervadeva attraverso l'udito e la vista.
1644," Oh gioia",oh gioia
1645," oh ineffabile allegrezza",non ci sono parole per esprimere la gioia.
1646," oh vita intègra d’amore e di pace",Una vita piena di amore e tranquillità.
1647," oh sanza brama sicura ricchezza",Con quanta abbondanza sarebbe possibile soddisfare ogni desiderio.
1648," Dinanzi a li occhi miei le quattro face stavano accese, ",Ho visto che le quattro luci erano accese davanti a me.
1649," e quella che pria venne incominciò a farsi più vivace, e tal ne la sembianza sua divenne, qual diverrebbe Iove, ","la prima arrivata divenne gradualmente di un rosso intenso, trasformandosi nella stessa immagine che avrebbe assunto Giove."
1650," s’elli e Marte fossero augelli e cambiassersi penne","Se lui e Marte fossero volatili e condividessero le piume,"
1651," La provedenza, che quivi comparte vice e officio, nel beato coro silenzio posto avea da ogne parte, quand’ ïo udi’","La Provvidenza, che in Cielo suddivide per ognuno gli incarichi, aveva zittito il coro dei beati in ogni punto, quando io sentii"
1652," «Se io mi trascoloro, non ti maravigliar, ché, dicend’ io, vedrai trascolorar tutti costoro","«Se io cambio colore, non meravigliarti, dal momento che alle mie parole vedrai fare lo stesso a tutti questi"
1653," Quelli ch’usurpa in terra il luogo mio, il luogo mio, il luogo mio, che vaca ne la presenza del Figliuol di Dio, ","Chiunque abbia preso il mio posto, anche se Cristo è presente, mentre la carica è rimasta vacante."
1654," fatt’ ha del cimitero mio cloaca del sangue e de la puzza","Ha convertito il mio cimitero in un luogo di letame, dove si accumulano sangue e odore nauseabondo."
1655," onde ’l perverso che cadde di qua sù, là giù si placa»","il malvagio che precipitò da qualche parte in alto, traeva godimento una volta raggiunto il fondo"
1656," Di quel color che per lo sole avverso nube dipigne da sera e da mane, vid’ ïo allora tutto ’l ciel cosperso","Io allora osservai il Cielo che era coperto da un colore, come quello che le nubi assumevano quando il sole al tramonto oppure sorgeva."
1657," E come donna onesta che permane di sé sicura, e per l’altrui fallanza, pur ascoltando, timida si fane, così Beatrice trasmutò sembianza","Come una donna leale che mantiene la dignità, irrigidendosi quando sente gli insulti degli altri, anche Beatrice si alterò."
1658," e tale eclissi credo che ’n ciel fue quando patì la supprema possanza","Si dice che ci fu un'eclissi solare quando Cristo morì, come se il firmamento stesse piangendo."
1659," Poi procedetter le parole sue con voce tanto da sé trasmutata, che la sembianza non si mutò più","Successivamente, il suo tono di voce divenne sempre più alto, ma la sue espressione rimase immutata."
1660," «Non fu la sposa di Cristo allevata del sangue mio, di Lin, di quel di Cleto, per essere ad acquisto d’oro usata","«La sposa di Cristo non fu nutrita col mio sangue, di Lino, di Anacleto, per essere usata per arricchirsi, "
