Originale,Traduzione EN
Insin ch'e' non serà ben corredato.,until he’s been properly mistreated.
Ché molt'è folle que' che cred'avere,For very foolish is the man who thinks he can have 
"Nessuna femina che•ssia sua propia,","any woman to be his, and his alone, "
Per don ched e' facesse di su' avere.,because of the gifts he’s given her with his wealth.
"Que' che•lla vuol, la cheg[g]ia 'nn-Atïopia,","Whoever wants such a woman, let him seek her in Ethiopia, "
"Ché qua no•lla pott'io ancor vedere,","because I’ve not yet seen one here, "
"E s'ella ci è, sì porta l'aritropia.","and if she’s here, then she must be carrying the heliotrope.”"
“Da l'altra parte elle son franche nate:,"“On the other hand, women are born free: "
"La leg[g]e sì•lle trâ di lor franchez[z]a,","the law takes away from them their free state,"
Dove Natura per sua nobilez[z]a,where Nature through her generosity 
Le mise quando prima fur criate.,put them as soon as they were created.
Or l'à la leg[g]e sì condizionate,Now the law has so bound them 
"Ed àlle messe a sì gran distrezza,",and put them in such distress 
Che ciascheduna volontier s'adrez[z]a,that they all willingly strive 
Come tornar potesse a franchitate.,to return to this state of freedom.
Vedi l'uccel del bosco quand'è 'n gab[b]ia:,"You see how the wild bird, when it’s in a cage, "
"E' canterà di cuor, ciò vi fi' aviso,",will sing with all its heart – this will be clear to you – 
Ma no•gli piace vivanda ch'egli ab[b]ia;,­but it does not like the food it has;
Ché Natur' a franchez[z]a l'à sì miso,for Nature has instilled such freedom in it 
"Che giorno e notte de l'uscirne arrab[b]ia,","that day and night it seeks feverishly to escape, "
Nonn-avrà tanto miglio o grano o riso.,although it has enough millet or wheat or rice.”
"“E se quell'uon desdir non si degnasse,","“And if that man would not deign to deny the fact, "
"Anzi dirà, per farla più crucciosa,","and instead will say, to make her angrier, "
"Che•nn'à un'altra, ch'è•ssì amorosa",that he has another woman who’s so in love 
"Di lui che per null'altro no'l cambiasse,","with him that she would not exchange him for any other,"
Guardisi quella che non si crucciasse.,then that woman should guard against getting angry. 
Con tutto ciò se ne mostri dogliosa,"In spite of this, she should feign sadness "
"Di fuor, ma dentr'al cuor ne sia gioiosa:","on the outside, but in her heart she should rejoice; "
Ancora più s'egli s'a[re]negasse;,she should rejoice even more if he were to deny it;
E dicagli che già quella vendetta,"and she should tell him that, indeed, revenge "
"Non sarà fatta se non sol per lei,","will be taken only by her, "
Sì ch'ella il pagherà di quella detta.,such that she will repay him for that debt.
Allor da•llui sì mi dipartirei;,"Then, I would go away from him; "
"Di far amico moster[r]è' gran fretta,","I would be quick to find myself another lover, "
Sì ch'io in quella angoscia il lascierei.,so that I would leave him in that sorrowful state.”
“S'avessi messo termine a un'ora,“If you’ve made appointments for the same hour 
"A due, c[h]'avresti fatto gran follia,",with two men – and in this you’ve been very foolish – 
"E l'un conteco in camera sia,","suppose that one of them is with you in the bedroom, "
"E l'altro viene apresso san' dimora,","and the other one arrives immediately afterwards,"
Al di dietro dirai ch'egl[i] è ancora,to this second one you will say that 
El signor ,"your husband is still upstairs, and that he should not "
uo lassù; ch'e' non poria,"be there too much longer, but one of the following will occur: "
"Far dimoranza, ma tost'una fia:","‘Either you or your servant, come back shortly.’"
"'Il fante o voi, tornate a poca d'ora'.","And then she should kick him out and go back upstairs,"
"E poi sì 'l butti fuori e torni suso,","and bring the other one out of the hiding place, "
"E trag[g]a l'altro fuor della burella,",where he has not appreciated being locked up;
Che molto gli è anoiato star rinchiuso;,"and then she should take off her robe and dress, "
"Po' i trag[g]a la guarnac[c]a e la gonella,",saying that she had to be downstairs so long 
Dicendo ch'ell'è tanto stata giuso,"because of her husband, who was in the cellar.”"
Per lo marito ch'era nella cella.,
“Ne•letto su' si metta in braccio in braccio,"“In her bed she should embrace him, "
Co•llui insiem' e faccian lor diporto;,and together have their pleasure; 
"Ma dica tuttor: 'Lassa, crudel torto",but she should say over and over: ‘O wretched me! 
E` questo che 'nverso il mi' sire faccio'.,This is a terrible wrong I’m doing to my husband.’
"E nella gioia c[h]'à, gli metta impaccio,","And in the midst of his joy, she should introduce this difficulty, "
Sì ch'egli ab[b]ia paura e disconforto:,so that he may be afraid and uneasy: 
"Dicer li dëe ch'e' sarebbe morto,",she must say to him that he would be killed 
"Sanz'averne rispetto, molt'avaccio,","without any consideration and quickly,"
Se•ll'uon sapesse ch'e' fosse co•llei:,if it were known that he was with her: 
"'Ed i' lassa dolente, malaurata,","‘And poor wretched me, unlucky one, "
So che vitiperata ne sarei,"I know that I would be maligned,"
E ch'i' per man de' mie' sarè' ismembrata'.,and torn apart at the hands of my relatives.’
"E in questa paura i' 'l metterei,","I would put him in this state of fear, "
Che da lui ne sareb[b]e più amata.,so that she would be loved by him even more.”
"“Quand'a quel lavorio messi saranno,","“When they’ll be engaged in that work, "
Ben sag[g]iamente deg[g]i,they should work together wisely; 
"n operare,","one should slow down and the other quicken the pace, "
"E l'un atender e l'altro studiare,",according to what their senses tell them.
Secondo ch'egli al[l]or si sentiranno;,Their desire to move and pant like bellows 
Né sì non dé parer lor già affanno,"should hardly seem painful to them, "
"Di voler ben a modo mantacare,",for both of them together should refine 
C[h]'amendue insieme deg[g]ian afinare,their pleasure; and would that it would last a year!
Lor dilettanza; e dimorasse un anno!,"And if the lady does not have the supreme delight,"
E se•lla donna non v'à di,"she should pretend in every possible way that she is about to, "
"anza,",and show in her appearance that this is so:
"Sì 'nfinga in tutte guise che vi sia,",let her squeeze him tightly and kiss him constantly; 
Sì gline mostri molto gran sembian,"when the man has had his pleasure, "
:,she should pretend to faint.”
Istringa 'l forte e basci 'l tuttavia;,
"Quando l'uom' avrà süa dilettanza,",
Sì paia ch'ella tramortita sia.,
“Se l'uon può tanto far ched ella vada,“If the man arranges for her to go 
"Al su' albergo la notte a dormire,","to his house to sleep overnight, "
Sì dé alla femina ben sovenire,the woman must remember to make him wait a bit.
Ched ella il faccia star un poco a bada.,"You may be sure that the man, who’ll be "
"E que', che guarderà tuttor la strada,","constantly watching the street, will think he’ll die "
Certana sie ch'e' l,before he sees her coming; 
 parrà morire,for love delayed is much more satisfying.
Insin ched e' no•lla vedrà venire:,"And when she has arrived at his house, "
"Ché•ll'amor c[h]'uom' atarda, vie più agrada.",she should say to that one who’s so in love with her 
"E quand'ella sarà a l'ostel venuta,",that for love of him she’s become very bold;
"Sì dica a que', che•nn'è sì amoroso,","her husband is so jealous of her, "
Ched ella per su' amor tropp'è arguta;,that she fears she’ll be beaten: 
"Ché 'l su' marito n'è troppo geloso,","thus, let she play well the role of the fearful one for him.”"
Sì che dubita molto esser battuta:,
Così gli faccia forte il päuroso.,
“Se quel geloso la tien sì fermata,“If that jealous one keeps her so locked up 
"Ch'ella non poss'andar là ov'ella vuole,","that she cannot go wherever she wants, "
Sì gli faccia intendente che•ssi duole,she should make him believe that she is suffering 
"D'una sua gotta, che d'averl'è usata:","from a case of gout, which she’s had for some time;"
"Per ch'e' convien ch'ella sïa stufata,","for this reason she must go to the baths, "
Ché colla stufa guerir se ne suole;,since this sickness is usually cured with hot baths. 
Po' bullirà ramerin e vïuole,Then she will boil rosemary and violets 
"E camamilla e salvia, e fie bagnata.","and camomile and sage, and bathe in this solution."
"E 'l geloso dirà: 'Va arditamente,","And the jealous husband will say: ‘Go freely, "
E mena teco buona compagnia';,and take some good companions with you’; 
"Ma molto ne fia nel su' cuor dolente,","but in his heart he will be very sad,"
Ma vede ch'e' desdir no•gliel poria.,but he sees that he can not prevent her from going. 
"Quella mena conseco alcuna gente,","She takes some companions with her, "
La qual sapranno ben sua malatia.,who will know her sickness well.”
“Ancor non dé aver femina credenza,"“Moreover, a woman must not believe "
"Che nessun uon malia farle potesse,","that any man can cast a spell on her, "
"Néd ella ancor altrui, s'ella ","nor that she could do the same with men, if she would wish "
esse,them to love her against their will.
C[h]'altri l'amasse contra sua voglienza.,"Medea, who was so knowledgeable in these matters, "
"Medea, in cui fu tanta sapïenza,","could not keep her hold on Jason, "
Non potte far che Gesono tenesse,despite the magic spells she tried on him 
"Per arte nulla ch'ella gli facesse,",to make him direct his love towards her. 
Sì che 'nver' lei tornasse la sua 'ntenza.,"A woman should not give expensive gifts, "
"Sì non dea nessun don, che guari vaglia,","to any lover, no matter how much she might prize him: "
"A null'amante, tanto l'apregiasse:","let her give a purse, a pillow or a tablecloth,"
"Doni borsa, guanciale o tovaglia,","or a very inexpensive belt, "
"O cinturetta che poco costasse,","a cap or a nicely crafted pin case, "
"Covricef[f]o o aguglier di bella taglia,",or a skein of yarn if he would deem it worthy.”
"O gumitol di fil, s'egli 'l degnasse.",
“Ma ciascun uon c[h]'avesse in sé ragione,“But any man who was astute 
"O che del mondo ben savio sareb[b]e,",or wise in worldly ways 
"Ma' don' di femina non prendereb[b]e,","would never take gifts from a woman, "
Ché non son che•llacci di tradigione:,for they are nothing but the snares of treachery.
"Ché quella che facesse donagione,",For the woman who would give gifts 
"Contra la sua natura pec[c]hereb[b]e,","would sin against her nature, "
"E 'n gran follia ciascun gliele por[r]eb[b]e,","and everyone would think her quite foolish, "
Sed ella no'l facesse a ,if she were not doing it to deceive.
igione.,"Therefore, when giving a gift, let every woman plan "
"Perciò ciascuna pensi, quando dona,","to give in the manner that I’ve described, "
Che doni nella guisa c[h]'ò parlato:,"so that, when she has passed the ninth hour, "
"Sì che, quand'ella avrà passata nona,",her overcoat may be so well-lined 
Il guardacuor suo sïa sì fodrato,that she does not have to count on the charity of anyone: 
Ch'ella non cag[g]ia a merzé di persona;,and this depends on her having set wealth aside.”
E ciò tien tutto al ben aver guardato.,
"“Al ben guardar fallì', lassa dolente,","“I failed to set wealth aside, oh wretched, sorry me, "
"Ché•cciò c[h]'all'un togliea, a l'altro donava:","for what I took from one, I gave to another; "
"Come 'l danaio venia, così n'andava;","as money came in, so it went out; "
Non facea forza d'aver rimanente.,I made no effort to save any of it.
"I' era di ciascun molto prendente,","I was used to taking gifts from every man, "
"E tutto quanto a un ribaldo il dava,","and all of these I gave to a scoundrel, "
Che puttana comune mi chiamava,who called me a common whore 
E mi battea la schiena ben sovente.,and would frequently beat me.
"Questi era que' che più mi piacea,","He was the one I loved the most, "
"E gli altri 'amici dolci' i' apellava,","and I would call the others ‘sweet friends,’"
"Ma solamente a costui ben volea,","but he was the only one I loved,"
Che mol[to] tosto s'apacificava,and he would quickly make up 
"Comeco, sì battuta no•m'avea,","with me, although he’d beaten me up, "
Ché troppo dolzemente mi scuf[f]iava.,for he screwed me most sweetly.”
"“S'i' fosse stata, per l'anima mia,","“If I had been, for my sake, "
"Ben savia in giovanez[z]a e conos[c]ente,","very wise and intelligent in my youth, "
Ch'i' era allor sì bella e sì piacente,when I was still so beautiful and pleasing 
"Che 'n ogne parte novelle ne gia,","that news of me went everywhere,"
"I' sarè' troppo ric[c]a, in fede mia;","I would be very rich, believe me; "
"Ma i' sì 'l dava tutto a quel dolente,","but I gave everything to that wretch, "
C[h]'a ben far non fu anche ,"who was not smart enough to do wise things, "
"ente,",and he spent it all in debauchery.
Ma tutto dispendea in ribalderia.,"He didn’t like to save anything, "
"Né no•gli pia[c]que nulla risparmiare,","but drank and gambled it all away, "
"Ch'e' tutto no'l beves[s]e e no'l giucasse,",so singularly predisposed was he to vice;
Tant'era temperato a pur mal fare:,"so in the end I had to leave him, "
"Sì c[h]'a la fin conven[n]e ch'i'•lasciasse,",when I no longer had anything to give him; 
Quand'i' non eb[b]i più che gli donare;,he took wealth away from me and from himself.”
E me e sé di gran ric[c]hez[z]a trasse”.,
Così à quella vec[c]hia sermonato.,In this way that old woman preached. 
Bellacoglienza molto queta è stata,Fair Welcome was very quiet 
"E molto volontier l'à ascoltata,","and listened to her most willingly, "
E molto e' n'è 'l su' cuor rasicurato:,and her heart is greatly reassured by it.
"Sì ch'e' seria leg[g]ier a far mercato,","Thus, it would be easy to close the deal, "
Se Gelosia non vi fosse trovata,if Jealousy had not been there 
"E' tre portier', che fanno gran veg[g]hiata,","and the three gatekeepers who are so vigilant, "
Ché ciascun dotta d'es[s]er barattato.,for each one is afraid of being deceived.
"Di Mala-Bocca, che già era morto,",None of them was very concerned 
Nessun di lor non facea ,"about Bad Mouth, who was already dead, "
" ciera,",for whoever would love him would make a big mistake;
Ché chi l'amasse sì faria gran torto:,for day and night he never stopped 
Ché non finava di dìe né da sera,"giving Jealousy new trouble, "
"Di dar a Gelosia nuovo sconforto,",and never did he utter a true word.
Né non dicea giamai parola vera.,
Bellacoglienza la parola prese,Fair Welcome began to speak 
"E sì rispuose, come ben parlante:",and answered with well-chosen words: 
"“Gentil madonna, i' vi fo grazie mante","“My noble Lady, I thank you very much "
Che di vostr'arte mi siete cortese;,for having been generous to me with your art;
"Ma 'l fatto de l'amor no•m'è palese,","but the facts of love are not clear to me, "
Se non se in parole trapassante.,because I know them only through fleeting words. 
Ched i' sia di danar ben procacciante?,Why should I be an avid procurer of money? 
I' n'ò assai per farne belle spese.,I have enough to make some nice purchases.
"D'avere in me maniera bella e gente,",It’s toward acquiring noble and charming ways for myself 
"A•cciò vogl'i' ben metter mia balia,","that I wish to apply my powers, "
In tal maniera che•ssia sofficiente.,so that I may be well-supplied.
"Se voï mi parlate di malia,",When you say to me that magic powers 
Ch'ella non può tornar già cuor di gente:,"cannot change the hearts of people, "
"Creda 'l chi vuol, ch'i' la teng'a•ffollia.","let anyone believe it who so desires, but I consider it to be folly!”"
"“Del bel valetto che vo' mi parlate,","“You’ve spoken to me about the handsome lad, "
"In cui tanta vertute è riposata,",the one in whom so much virtue is found; 
"Sed e' la s'à, per me gli sia chitata:","if he has this virtue, let him keep it for my sake: "
"S'i' l'amo, i' l'amerò come mi' frate.","if I love him, I will love him like a brother."
"Ma, per le gioie ch'e' m'à presentate,","But, because of the jewels he gave me, "
La mia veduta no•gli fia vietata;,he should not be prevented from seeing me; 
"Ma venga il più che puote a la celata,","but let him come as often as he can in secret, "
"E sed e' piace a voi, sì 'l ci menate.","and if you like, then bring him here."
"Ma' che sia fatto tosto san' dimora,","But this should be done quickly and without delay, "
Perciò che Gelosia non può sofrire,since Jealousy cannot allow 
Ched ella stea sanza vedermi un'ora:,an hour to pass without checking on me;
"Ché molte volte si parte per gire,","for many times she starts to go away, "
"E 'l diavol, che di notte in lei lavora,","and the devil, who works in her by night, "
Sì•lla fa•mantenente rivenire”.,makes her come back immediately.”
"La Vec[c]hia sì la va rasicurando,",The Old Woman thus goes about reassuring her 
E dice: “Sopra me lascia la cura,and says: “Let me take care 
"Di questo fatto; non aver paura,","of this matter; don’t be afraid, "
Chéd io il saprò ben andar celando.,for I’ll know how to keep it hidden.
E gisse Gelosia tuttor cercando,And should Jealousy continue to snoop around 
"Qua entro, sì seria grande sciagura","inside here, it would be a great disaster "
"S'ella 'l trovasse, ma i' son sicura","if she were to find him, but I am sure "
Che poco le varria su' gir sognando”.,that her fantastications will do her little good.”
"“Dunque potete voi farlo venire,","“Therefore, you can have him come, "
"Ma' ched e' si contegna come sag[g]io,",on condition that he behave wisely 
Ch'e' non pensasse a•ffar nes[s]un ardire”.,and that he not think to do any bold deed.”
"“Figl[i]uola mia, e' non fece anche oltrag[g]io","“My darling daughter, he never went beyond good measure "
"I•nessun luogo, ch'i' udisse dire,","anywhere, at least that I heard about; "
Ma troppo il loda l'uon di gran vantag[g]io”.,"in fact, people greatly praise him for his excellence.”"
Al[l]or sì fecer fine al parlamento.,At that point they ended their conversation. 
"La Vec[c]hia se ne venne al mi' ostello,",The Old Woman came to my house 
E disse: “Avrò io sorcotto e mantello,"and said: “Will I have coat and mantle, "
Sed i' t'aporto alcun buon argomento,if I bring you some good remedy
Che ti trarrà di questo tuo tormento?”.,that will take away your sorrow?”
"I' dissi: “Sì, d'un verde fino e bello;","“Yes,” I said, “and they will be in a noble and beautiful green; "
"Ma, sì sacciate, non fia san' pennello","but, you should know, they’ll have a gray "
"Di grigio, con ogn'altro guernimento”.",lining and every other sort of ornament.”
"D'Amico mi sovenne, che mi disse",I remembered that Friend told me 
"Ched i' facesse larga promessione,","that I should make a generous promise, "
"Ma 'l più ch'i' posso, il pagar soferisse:",but that I should delay payment as long as I can;
Avegna ch'i' avea ferma 'ntenzione,"although I had good intentions to compensate her well, "
"De dar ben a coste', s'ella m'aprisse,",if for me she would unlock the door 
Che quell'uscisse fuor della pregione.,to release that lady from confinement.
"La Vec[c]hia disse allor: “Amico mio,","The Old Woman then said: “My friend, "
Queste son le novelle ch'i' t'aporto:,this is the news I bring you: 
Bellacoglienza salute e conforto,Fair Welcome sends you greetings 
"Te manda, se m'aiuti l'alto Dio;","and encouragement, so help me Almighty God."
Sì ch'i' ti dico ben ched i' cred'io,"Thus, I say to you that I believe "
Che•lla tua nave ariverà a tal porto,your ship will arrive in such a port 
Che•ttu sì coglierai il fior dell'orto”.,that you will pluck the Flower in the garden.”
(Questo motto fu quel che mi guerìo).,These are the words that healed me.
"“Or te dirò, amico, che farai:","“Now I’ll tell you, my friend, what you’ll do: "
"All'uscio c[h]'apre verso del giardino,",you will come very quietly 
Ben chetamente tu te ne ver[r]ai;,to the gate that opens to the garden;
"Ed i' sì me ne vo 'l dritto camino,",and I will go along the straight road 
"E sì farò c[h]'aperto il troverai,","and make sure you’ll find the gate open, "
Sì che•ttu avrai il fior in tuo dimino”.,so that you will have the Flower in your possession.”
"La Vec[c]hia atanto da me si diparte,","Meanwhile the Old Woman leaves me, "
E 'l camin eb[b]e tosto passeg[g]iato;,and had quickly passed along the path; 
"E quand'i fui un poco dimorato,","and after I had waited a bit, "
"Verso 'l giardin n'andai da l'altra parte,","I went toward the garden by the other way,"
Pregando Idio che mi conduca 'n parte,praying that God may guide me to that place 
Ch'i' de mia malatia fosse sanato.,where I would be cured of my sickness. 
Aperto l'uscio sì eb[b]i trovato;,I found the gate open; 
Ver è ch'era soc[c]hiuso tutto ad arte.,"in truth, it was half-closed on purpose."
Con molto gran paura dentro entrai;,With much trepidation I went inside; 
"Ma, quand'i' vidi Mala-Bocca morto,","but, when I saw Bad Mouth dead, "
Vie men del fatto mio sì mi dottai.,I was much less fearful about my situation.
"Amor trovai, che mi diè gran conforto",I found Love who gave me much encouragement 
"Co•l'oste sua, e molto m'allegrai","with his army, and I rejoiced "
Che ciascun v'era 'n ,that everyone there was ready to help me.
t,
m'acorto.,
"Com'i' v'ò detto, a tutto lor podere","As I told you, the God of Love and his army "
Lo Dio d'Amor e la sua baronia,"of nobles, with all their might, "
Presti eran tutti a far senn'e follia,"were ready to do whatever it took, "
Per acompiérmi tutto 'l mio volere.,"both wise and foolish, to satisfy my desire."
Allor pensai s'i' potesse vedere,At that point I thought I would like to see 
Dolze-Riguardo per cosa che sia:,Sweet Glance above all else: 
"Inmantenente Amor a me lo 'nvia,","immediately Love sends him to me, "
Di che mi fece molto gran piacere.,and this gave me great pleasure.
"E que' sì mi mostrò Bellacoglienza,","And that one showed me Fair Welcome, "
"Che 'nmantenente venne a salutarmi,",who immediately came to greet me 
E sì mi fece grande proferenza;,and welcomed me warmly;
E po' sì cominciò a merzïarmi,and then she began to thank me 
Delle mie gioie: di ch'ell'avea vogl[i]enza,"for my jewels, since she wanted "
Di quel presente ancor guiderdonarmi.,to compensate me for that gift.
"I' le dissi: “Madonna, grazie rendo","I said to her: “My Lady, I give thanks to you "
"A voï, quando prender le degnaste,",when you deigned to accept them; 
Che tanto forte me ne consolaste,you comforted me so much 
Ch'a pena maï mag[g]ior gioia atendo;,that I can hardly expect to have greater joy;
"E s'i' l'ò mai, da voi aver la '[n]tendo;","and if I ever have it, I know I have it thanks to you."
Sì c[h]'a me piace se ciò che pigliaste,"Thus, I am content, even if you were to pawn or sell "
O la persona mia ancora ingag[g]iaste,either the gift you received from me 
O la vendeste: mai non vi contendo”.,"or my very person; I will never dispute with you."""
Quella mi disse: “Molto gran merzede.,She said to me: “Many thanks. 
"Di me vi dico fate 'l somigliante,","And I tell you to do the same with me, "
"C[h]'a bene e a onore i' v'amo, a•ffede”.","for I love you properly, honorably and faithfully”"
Delle sue cose i' non fu' rifusante;,I did not refuse her things; 
Ma spesso falla ciò che 'l folle crede:,but often what fools believe does not come to pass: 
Così avenne al buon di ser Durante.,thus it happened to the good Ser Durante.
"Quand'i' udì' l'oferta che facea,","When I heard the offer she was making, "
Del fatto mi' credett'es[s]er certano:,I thought for sure the deal was done: 
"Allor sì volli al fior porre la mano,","thus, I decided to touch the Flower, "
Che molto ringrossato mi parea.,which seemed to me quite ripe to pick. 
Lo Schifo sopra me forte correa,Resistance ran up to me quickly 
"Dicendo: “Trât'adietro, mal villano;","saying: “Get back, you disloyal rogue, "
"Che•sse m'aiuti Idio e san Germano,","for so help me God and St. Germain ,"
I' non son or quel ch'i' esser solea.,I am not now the one I used to be.
El diavol sì ti ci à or [r]amenato:,The devil has brought you here again; 
"Se mi trovasti a l'altra volta lento,","if the time before you found me slow, "
Or sie certan ch'i' ti parrò cambiato.,you can now be sure that I have changed.
Me' ti varria che fossi a Benivento”.,It would be better for you to be in Benevento.”
"Allor al capez[z]al m'eb[b]e pigliato,",Then he took me by the collar 
E domandò chi era mi' guarento.,and asked who was my guarantor.
"Po' sentì 'l fatto Vergogna e Paura,","After hearing that uncourtly one shout, "
"Quand'ell' udiron quel villan gridare,",Modesty and Fear understood the situation 
"Ciascuna sì vi corse a•llui aitare,","and ran to help him, "
E quello Schifo molto s'assicura.,and Resistance is very glad.
Idio e tutti i santi ciascun giura,Each one swears to God and all the Saints
Ched el[l]e 'l mi faranno comperare:,that they will make me pay; 
Allor ciascun mi cominciò a buttare;,then they began to chase me off 
Molto mi fecer dispett'e ladura;,and gave me scorn and much abuse.
"E disson ch'i' avea troppo fallato,","And they said I had committed a great sin, "
Po' che Bellacoglienza per su' onore,since Fair Welcome had honorably 
"E lei e 'l suo m'avea abandonato,","given me herself and her possessions,"
Ched i' pensava d'imbolarle il fiore.,because I was planning to steal the Flower from her. 
"Dritt'era ch'i' ne fosse gastigato,","It was right for me to be punished, "
Sì ch'i' ne stesse ma' sempre in dolore.,so that I would be in pain forever.
Allor Bellacoglienza fu fermata,Then Fair Welcome was enclosed 
"Da questi tre portier' sotto tre porte,","by these three gatekeepers behind three gates, "
E con una catena molto forte,and with a very strong chain 
Quella gentil eb[b]ero 'ncatenata.,they chained that noble one.
"Po' corser sopra me, quella brigata,",Then that group ran toward me 
E disson: “Sopra te cadran le sorte”.,and said: “Upon you the burden will fall.”
"Allor credetti ben ricever morte,","Then I thought for sure I’d die, "
Tanto facean di me gran malmenata:,for they were giving me a great beating.
Sì ch'i' misericordia domandai,I begged for mercy from 
"A Paura, a Vergogna e a quel crudele;","Fear, Modesty, and that cruel one;"
Ma i•nessuna guisa la trovai.,but I received none at all.
Ciascun sì mi era più amar che fele;,Each one was more bitter than gall towards me; 
Per molte volte merzé lor gridai:,many times I shouted to them for mercy: 
Que' mi dicëan: “Per nïente bele”.,they said to me: “You’re bleating in vain.”
"Come costor m'andavar tormentando,",The army of the God of Love became aware 
"E l'oste al Die d'Amor si fu sentita,","of how these three were tormenting me, "
E sì cognob[b]or ch'i' avea infralita,and recognized how weak my voice had become: 
La boce: inmantenente miser bando,immediately they gave orders
Che ciasc[hed]un si vada apparec[c]hiando,that each one of them prepare 
"A me socor[r]ere a campar la vita,","to help me save my life, "
Ch'ella sareb[b]e in poca d'or fallita,"which would be over in a short while, "
Sed e' no•mi venis[s]er confortando.,if they did not come to help me.
"Quando i portir' sentiron quel baratto,","When the gatekeepers heard that commotion, "
Inmantenente tra lor si giuraro,immediately they vowed among themselves 
Di non renderla a forza né a patto;,"not to give her up, either by force or by negotiations."
E que' di fuor ancor sì si legaro,And those outside similarly vowed 
"Di non partirsi se non fosse fatto,","not to leave until the battle was over, "
E di questo tra•llor si fidanzaro.,and they made this oath among themselves.
Franchez[z]a sì venne primieramente,First Sincerity moved 
"Contra lo Schifo, ch'è molto oltrag[g]ioso","against Resistance, who is so haughty "
E per sembianti fiero e corag[g]ioso;,and fierce and bold in his demeanor; 
Ma quella venne molto umilemente.,but the former came very humbly.
"Lo Schifo sì ponea trop[p]o ben mente,","Resistance considered the matter well, "
"Ché 'n ben guardar era molto invïoso,",for he was very careful in making sure 
Che quella non potesse di nascoso,that Sincerity could not secretly enter 
Entrar dentr'a la porta con sua gente.,through the gate with her companions.
"Franchez[z]a mise mano ad una lancia,",Sincerity took a spear in hand; 
"Sì s'aperse per dare a quel cagnone,",she dropped her guard to attack that ugly watch-dog 
E crudelmente contra lui la lancia.,and cruelly hurls her lance at him.
"Lo Schifo sì avea in mano un gran bastone,","In his hand, Resistance held a huge club, "
"E co•lo scudo il colpo sì•llo schiancia,","and with his shield parries the blow, "
E fiede a•llei e falla gir boccone.,and hits her and makes her fall face down.
"La lancia a pez[z]i a pez[z]i à dispez[z]ata,","Resistance smashed the spear to smithereens, "
"E po' avisa un colpo ismisurato,","and then he deals a tremendous blow, "
Sì che tutto lo scudo à squartellato:,such that the entire shield is shattered: 
Franchez[z]a sì è in terra rovesciata.,Sincerity is sent crashing to the ground.
"E que' de' colpi fa gran dimenata,","Then he strikes her many times, "
"E la bella merzé gli à domandato,",and the beautiful one so begged for mercy 
Sì c[h]'a Pietà ne prese gran peccato:,that Mercy felt great compassion for her: 
Verso il villan sì•ss'è adiriz[z]ata;,"she advances towards the evil one,"
"E con uno spunton lo gì pungendo,","and with a pointed spear she wounded him, "
"E di lagrime tuttora il bagnava,","and she bathed him with incessant tears, "
"Sì che 'l vlllan si venïa rendendo,","such that the uncourtly one surrendered,"
C[h]'aviso gli era ched egli afogava.,since he thought he was drowning. 
Allor Vergogna vi venne cor[r]endo,"Then, Modesty came running up, "
Perché lo Schifo “Socorso!” gridava.,because Resistance was crying “Help!”
Vergogna sì venne contra Pieta,Then Modesty moved against Mercy 
"e,",and threatens her very harshly; 
E molto fortemente la minaccia;,and that one who feared her threat 
"E quella, che dottava sua minaccia,","prepares to show her goodness,"
Sì s'aparec[c]hia a mostrar sua bonta,for she knows how cruel Modesty can be. 
"e,",Modesty takes her sword in hand 
Ché ben conosce sua diversita,and said: “I want everyone to know 
e.,that I will pay you back in kind.”
"Vergogna a una spada la man caccia,","Then she raises her sword to strike her, "
Sì disse: “I' vo' ben che ciaschedun saccia,but Delight moved to help Mercy 
Ched i' te pagherò di tue der[r]ate”.,and with his shield was able to cover her;
Allora alza la spada a•llei fedire;,"and then he turns to avenge her, "
"Ma Diletto sì venne a•llei atare,",but Modesty knew how to duel so well 
E di suo scudo la sep[p]e coprire;,that he was unable to wound her.
E poi si torna per lei vendicare:,
Ma Vergogna sapea sì lo schermire,
Che que' no•lla potëa magagnare.,
Vergogna mise allor man a la spada,Modesty then took her sword in hand 
E sì se ne vien dritta ver' Diletto.,and advances toward Delight. 
"Inmantenente lo scudo eb[b]e al petto,",Immediately she held the shield close to her breast 
"E disse: “Come vuole andar, sì vada,","and said: “May it go as it must go,"
"Ched i' te pur farò votar la strada,","for either I’ll make you leave the field, "
O tu farai di piana terra letto”.,or you’ll make your bed on the ground.”
"Allor lo fie' co•molto gran dispetto,","Then she strikes him with great anger, "
Come colei ch'a uc[c]iderlo bada;,as one intent on killing him;
Sì che l,she sent him sprawling on the ground 
"ise giù tutto stenduto,",and would have split him to his teeth; 
E sì l'avreb[b]e fesso insino a' denti;,"but when Well-Hidden had seen this,"
"Ma, quando Ben-Celar l'eb[b]e veduto,","since they were close relatives, "
"Perciò ch'egli eran distretti parenti,",he immediately went to his aid. 
Inmantenente sì gli fece aiuto.,Modesty said: “I’ll make both of you sorry.”
Vergogna disse: “I' vi farò dolenti”.,
Molt'era buon guer[r]ier quel B,Well-Hidden was a very good warrior: 
n-Celare:,he raised his sword and strikes Modesty 
"Alzò la spada, e sì fiede Vergogna",with such great force that she’s completely stunned 
"Sì gran colpo ched ella tutta ingrogna,",and almost fell to the ground.
E poco ne fallì d'a terra andare.,"And then he began to lecture her, "
