,Inferno,Inferno_ita
3883,"""O duca mio, la vïolenta morte","«O mia guida, è stata la sua morte violenta "
3884,"che non li è vendicata ancor"", diss’io,","che non ha ancora trovato vendetta», dissi io, "
3885,"""per alcun che de l’onta sia consorte, ","«da parte  di qualche parente che sia partecipe dell’offesa, "
3886,fece lui disdegnoso; ond’el sen gio,a renderlo sdegnato; per questo egli andò 
3887,"sanza parlarmi, sì com’ïo estimo:","senza parlarmi, almeno così io credo:"
3888,"e in ciò m’ ha el fatto a sé più pio"". ",e proprio per questo egli mi ha reso più pietoso  verso di lui». 
3889,Così parlammo infino al loco primo,Così discorremmo fino al bordo  del ponte  
3890,"che de lo scoglio l’altra valle mostra,",dal quale si scorgerebbe la bolgia successiva  
3891,"se più lume vi fosse, tutto ad imo. ","fino al fondo , se ci fosse più luce. "
3892,Quando noi fummo sor l’ultima chiostra,Quando giungemmo sull’ultima bolgia  
3893,"di Malebolge, sì che i suoi conversi","di Malebolge, così che i suoi dannati  "
3894,"potean parere a la veduta nostra, ","potevano essere veduti da noi, "
3895,"lamenti saettaron me diversi,","mi colpirono  strani  lamenti, "
3896,che di pietà ferrati avean li strali;,che penetravano come punte di ferro per il loro tono pietoso; 
3897,ond’io li orecchi con le man copersi. ,per cui io mi chiusi le orecchie con le mani. 
3898,"Qual dolor fora, se de li spedali","Quali sarebbero  le grida di dolore se, dagli ospedali "
3899,di Valdichiana tra ’l luglio e ’l settembre,"di Valdichiana, della Maremma o della Sardegna, "
3900,e di Maremma e di Sardigna i mali ,"nei mesi di luglio e settembre, i malati  "
3901,"fossero in una fossa tutti ’nsembre,","fossero riuniti tutti insieme in un sol luogo ristretto , "
3902,"tal era quivi, e tal puzzo n’usciva","così era qui, e vi esalava il medesimo puzzo "
3903,qual suol venir de le marcite membre. ,che si leva dalle membra incancrenite. 
3904,Noi discendemmo in su l’ultima riva,Noi discendemmo sull’estremo argine 
3905,"del lungo scoglio, pur da man sinistra;","del lungo ponte, ancora  da sinistra, "
3906,e allor fu la mia vista più viva ,e allora il mio vedere giù verso il fondo
3907,"giù ver’ lo fondo, là ’ve la ministra","fu più nitido, laddove la giustizia, "
3908,de l’alto Sire infallibil giustizia,"infallibile ministro del sommo Re,"
3909,punisce i falsador che qui registra. ,punisce i falsari che qui  essa segna sul suo libro . 
3910,Non credo ch’a veder maggior tristizia,Non credo che fosse una tristezza maggiore 
3911,"fosse in Egina il popol tutto infermo,",vedere nell’isola di Egina tutto il popolo infermo
3912,"quando fu l’aere sì pien di malizia, ","quando l’aria fu così colpita dalla pestilenza , "
3913,"che li animali, infino al picciol vermo,","che gli animali, anche il più piccolo essere vivente , "
3914,"cascaron tutti, e poi le genti antiche,","morirono tutti, e in seguito le popolazioni originarie,"
3915,"secondo che i poeti hanno per fermo, ","secondo quanto i poeti tramandano come certo, "
3916,si ristorar di seme di formiche;,rinacquero  dalla stirpe  delle formiche; 
3917,ch’era a veder per quella oscura valle,quanto era triste osservare in quella bolgia oscura 
3918,languir li spirti per diverse biche. ,languire quelle anime in diversi gruppi . 
3919,Qual sovra ’l ventre e qual sovra le spalle,Chi giaceva sul ventre e chi si addossava alle spalle 
3920,"l’un de l’altro giacea, e qual carpone","di un altro, e chi si trascinava  carponi"
3921,si trasmutava per lo tristo calle. ,per il doloroso sentiero.
3922,"Passo passo andavam sanza sermone,","Noi procedevamo lentamente  senza parole, "
3923,"guardando e ascoltando li ammalati,","guardando e ascoltando i dannati colpiti da malattie, "
3924,che non potean levar le lor persone. ,i quali non potevano sollevare il corpo. 
3925,"Io vidi due sedere a sé poggiati,","Ne vidi due seduti che s’appoggiavano l’uno all’altro, "
3926,"com’a scaldar si poggia tegghia a tegghia,","come si accosta teglia con teglia per farle scaldare, "
3927,dal capo al piè di schianze macolati; ,infettati di croste  da capo a piedi; 
3928,e non vidi già mai menare stregghia,e non vidi mai un garzone lavorar di striglia  
3929,"a ragazzo aspettato dal segnorso,","quando è atteso dal suo padrone ,"
3930,"né a colui che mal volontier vegghia, ","né colui che sta sveglio controvoglia, "
3931,come ciascun menava spesso il morso,come ciascuno di costoro spesso dava forti colpi 
3932,de l’unghie sopra sé per la gran rabbia,"con le unghie su di sé per la gran smania del prurito,"
3933,"del pizzicor, che non ha più soccorso; ",al quale non c’è altro rimedio; 
3934,"e sì traevan giù l’unghie la scabbia,","e le unghie penetravano  tanto in profondo  nelle piaghe della scabbia, "
3935,come coltel di scardova le scaglie,quanto il coltello nelle squame della scardova 
3936,o d’altro pesce che più larghe l’abbia. ,o di altro pesce che le abbia ancor più larghe. 
3937,"""O tu che con le dita ti dismaglie"",","«O tu che ti laceri  con le dita», "
3938,"cominciò ’l duca mio a l’un di loro,","disse la mia guida a uno di costoro, "
3939,"""e che fai d’esse talvolta tanaglie, ","«e che talvolta le trasformi in tenaglie, "
3940,dinne s’alcun Latino è tra costoro,dicci se tra costoro che sono qui dentro
3941,"che son quinc’entro, se l’unghia ti basti","c’è qualche italiano , e possa  in eterno "
3942,"etternalmente a cotesto lavoro"". ",la tua unghia bastarti per questo lavoro». 
3943,"""Latin siam noi, che tu vedi sì guasti",«Siamo italiani noi due che tu puoi vedere 
3944,"qui ambedue"", rispuose l’un piangendo;","entrambi così deturpati», rispose uno piangendo; "
3945,"""ma tu chi se’ che di noi dimandasti?"". ",«ma chi sei tu che chiedesti notizie di noi?». 
3946,"E ’l duca disse: ""I’ son un che discendo",E la guida rispose: «Io discendo 
3947,"con questo vivo giù di balzo in balzo,","con questo vivo giù di cerchio in cerchio, "
3948,"e di mostrar lo ’nferno a lui intendo"". ",e mi propongo  di mostrargli l’Inferno».
3949,Allor si ruppe lo comun rincalzo;,Allora si ruppe il reciproco  sostegno ; 
3950,e tremando ciascuno a me si volse,e ognuno si volse tremando a me 
3951,con altri che l’udiron di rimbalzo. ,con gli altri che ascoltarono indirettamente .
3952,"Lo buon maestro a me tutto s’accolse,","Il valente maestro si accostò tutto verso di me,"
3953,"dicendo: ""Dì a lor ciò che tu vuoli"";",dicendo: «Di’ loro ciò che tu vuoi»; 
3954,"e io incominciai, poscia ch’ei volse: ","e io incominciai, dopo che egli volle : "
3955,"""Se la vostra memoria non s’imboli",«Possa  il ricordo di voi non dileguarsi  nella mente 
3956,"nel primo mondo da l’umane menti,","degli uomini nel mondo della prima vita ,"
3957,"ma s’ella viva sotto molti soli, ","ma possa vivere ancora per molti anni , "
3958,ditemi chi voi siete e di che genti;,ditemi chi siete e di qual città ; 
3959,la vostra sconcia e fastidiosa pena,non vi trattenga dal mostrarvi a me 
3960,"di palesarvi a me non vi spaventi"". ",la vostra sconcia e fastidiosa pena». 
3961,"""Io fui d'Arezzo, e Albero da Siena"",","Uno rispose: «Io fui  di Arezzo, "
3962,"rispuose l'un, ""mi fé mettere al foco;",e Albero da Siena mi fece mettere al rogo ; 
3963,ma quel per ch'io mori' qui non mi mena. ,ma non mi conduce in questa bolgia l’accusa di eresia per la quale io morii. 
3964,"Vero è ch’i’ dissi lui, parlando a gioco:","È ben vero che io gli dissi, ma parlando per scherzo:"
3965,"""I’ mi saprei levar per l’aere a volo"";",‘Io sarei in grado di sollevarmi in volo per l’aria’; 
3966,"e quei, ch’avea vaghezza e senno poco, ","e quello, che aveva curiosità ma poco senno, "
3967,volle ch’i’ li mostrassi l’arte; e solo,volle che io gli insegnassi la tecnica; e solo 
3968,"perch’io nol feci Dedalo, mi fece","perché io non riuscii a trasformarlo in Dedalo, mi fece "
3969,ardere a tal che l’avea per figliuolo. ,ardere da un tale  che lo considerava come un figlio. 
3970,Ma ne l’ultima bolgia de le diece,"Ma Minosse, a cui non è lecito  errare, "
3971,me per l’alchìmia che nel mondo usai,mi condannò nell’ultima delle dieci bolge a causa 
3972,"dannò Minòs, a cui fallar non lece"". ",dell’alchimia che praticai  nel mondo». 
3973,"E io dissi al poeta: ""Or fu già mai",E io dissi al poeta: «Esistette forse mai gente 
3974,gente sì vana come la sanese?,talmente fatua  come quella senese?
3975,"Certo non la francesca sì d'assai!"". ",Di certo non così tanto quella francese!». 
3976,"Onde l’altro lebbroso, che m’intese,","Allora l’altro lebbroso, che mi capì,"
3977,"rispuose al detto mio: ""Tra’ mene Stricca",rispose alle mie parole: «Escludi  Stricca  
3978,"che seppe far le temperate spese, ","che seppe fare spese moderate, "
3979,e Niccolò che la costuma ricca,e Niccolò che per primo scoprì l’usanza dispendiosa  
3980,del garofano prima discoverse,dei chiodi di garofano nell’orto 
3981,ne l’orto dove tal seme s’appicca; ,dove questo seme attecchisce ;
3982,e tra’ ne la brigata in che disperse,ed escludi  la brigata in cui Caccia d’Asciano 
3983,"Caccia d’Ascian la vigna e la gran fonda,","dilapidò la vigna e gli ampi possedimenti , "
3984,e l’Abbagliato suo senno proferse. ,e l’Abbagliato diede ampia prova  del suo senno. 
3985,Ma perché sappi chi sì ti seconda,Ma perché tu sappia chi è colui che ti asseconda 
3986,"contra i Sanesi, aguzza ver’ me l’occhio,","in tal modo contro i Senesi, aguzza l’occhio verso di me, "
3987,sì che la faccia mia ben ti risponda: ,in modo che il mio volto possa ben risponderti: 
3988,"sì vedrai ch’io son l’ombra di Capocchio,","così vedrai che io sono l’anima  di Capocchio, "
3989,che falsai li metalli con l’alchìmia;,che per mezzo dell’alchimia falsai i metalli; 
3990,"e te dee ricordar, se ben t’adocchio, ","e ti devi ricordare, se ti ho ben riconosciuto, "
3991,"com’io fui di natura buona scimia"". ",come io fui valente imitatore  delle cose della natura». 
3992,Nel tempo che Iunone era crucciata,Nel tempo in cui Giunone era adirata 
3993,"per Semelè contra ’l sangue tebano,","contro la popolazione  di Tebe a causa  di Semele,"
3994,"come mostrò una e altra fïata,","e ne diede prova in ben due circostanze, "
3995,"Atamante divenne tanto insano,","Atamante divenne tanto pazzo  che, "
3996,che veggendo la moglie con due figli,vedendo la moglie camminare 
3997,"andar carcata da ciascuna mano, ","tenendo in braccio  i due figli, "
3998,"gridò: ""Tendiam le reti, sì ch’io pigli","gridò: «Stendiamo le reti, così che io catturi "
3999,"la leonessa e ’ leoncini al varco"";",la leonessa e i suoi leoncini al varco»; 
4000,"e poi distese i dispietati artigli, ",e poi allungò gli artigli impietosi 
4001,"prendendo l’un ch’avea nome Learco,","afferrando il figlio di nome Learco,"
4002,e rotollo e percosselo ad un sasso;,e lo fece roteare e lo mandò a sbattere contro il muro; 
4003,e quella s’annegò con l’altro carco. ,e la madre  si annegò insieme all’altro figlio . 
4004,E quando la fortuna volse in basso,E nel tempo in cui la fortuna umiliò  
4005,"l’altezza de’ Troian che tutto ardiva,","la superbia  dei Troiani che osava tutto, "
4006,"sì che ’nsieme col regno il re fu casso, ","così che fu ucciso  insieme al regno anche il suo re ,"
4007,"Ecuba trista, misera e cattiva,","infelice  Ecuba, misera e schiava , "
4008,"poscia che vide Polissena morta,","quando vide la figlia Polissena uccisa , "
4009,e del suo Polidoro in su la riva ,e quando angosciata  ritrovò  
4010,"del mar si fu la dolorosa accorta,","il suo Polidoro sulla riva del mare, "
4011,forsennata latrò sì come cane;,forsennata urlò  come un cane; 
4012,tanto il dolor le fé la mente torta. ,a tal punto il dolore le sconvolse  la ragione. 
4013,Ma né di Tebe furie né troiane,Ma neppure tra le furie tebane o troiane 
4014,"si vider mäi in alcun tanto crude,","se ne trovarono mai di così crudeli contro qualcuno,"
4015,"non punger bestie, nonché membra umane, ","che colpissero  animali o esseri umani, "
4016,"quant’io vidi in due ombre smorte e nude,",quanto io vidi  in due anime pallide e nude 
4017,che mordendo correvan di quel modo,"che correvano, mordendo come il porco "
4018,che ’l porco quando del porcil si schiude. ,quando viene liberato dal chiuso del porcile. 
4019,"L’una giunse a Capocchio, e in sul nodo",L’una raggiunse Capocchio e l’azzannò 
4020,"del collo l’assannò, sì che, tirando,","alla nuca e in tal modo, strattonandolo, "
4021,grattar li fece il ventre al fondo sodo. ,lo costrinse a grattare il ventre sul duro terreno. 
4022,"E l’Aretin che rimase, tremando","E l’Aretino che rimase, tremando "
4023,"mi disse: ""Quel folletto è Gianni Schicchi,","mi disse: «Quello spirito maligno  è Gianni Schicchi, "
4024,"e va rabbioso altrui così conciando"". ",e pieno di rabbia va straziando in tale modo gli altri».
4025,"""Oh"", diss’io lui, ""se l’altro non ti ficchi","Gli risposi: «Oh, ti auguro  che quell’altro non ti pianti"
4026,"li denti a dosso, non ti sia fatica","i denti addosso, ma a te non rincresca "
4027,"a dir chi è, pria che di qui si spicchi"". ","dirmi chi egli sia, prima che se ne corra via di qui ». "
4028,"Ed elli a me: ""Quell’è l’anima antica",Ed egli a me: «Quella è l’anima vissuta in tempi remoti  
4029,"di Mirra scellerata, che divenne","della scellerata Mirra, che divenne "
4030,"al padre, fuor del dritto amore, amica. ","amante  del padre, fuori da ogni legittimo  amore. "
4031,"Questa a peccar con esso così venne,","Questa riuscì  a compiere l’adulterio  con lui, "
4032,"falsificando sé in altrui forma,","falsificando il proprio aspetto con quello di altri, "
4033,"come l’altro che là sen va, sostenne, ","come quel peccatore che corre laggiù, ebbe l’ardire, "
4034,"per guadagnar la donna de la torma,","per riuscire ad avere la migliore cavalla  della mandria , "
4035,"falsificare in sé Buoso Donati,","di fingersi Buoso Donati, "
4036,"testando e dando al testamento norma"". ",facendo testamento e dando a questo validità legale ». 
4037,E poi che i due rabbiosi fuor passati,E dopo che quei due dannati rabbiosi 
4038,"sovra cu’ io avea l’occhio tenuto,","sui quali avevo fissato lo sguardo se ne furono andati, "
4039,rivolsilo a guardar li altri mal nati. ,mi volsi a osservare gli altri sciagurati . 
4040,"Io vidi un, fatto a guisa di lëuto,","Ne vidi uno, ridotto in forma di liuto, "
4041,pur ch’elli avesse avuta l’anguinaia,se solo avesse avuto l’inguine  
4042,tronca da l’altro che l’uomo ha forcuto.,privo  di quanto l’uomo possiede che in quel punto si biforca.
4043,"La grave idropesì, che sì dispaia","La grave forma di idropisia , che rende deformi  "
4044,"le membra con l’omor che mal converte,","le membra a causa dei liquidi che non smaltisce correttamente,"
4045,"che ’l viso non risponde a la ventraia, ","in modo che il viso non è proporzionato  al ventre,"
4046,faceva lui tener le labbra aperte,lo costringeva a tenere le labbra aperte 
4047,"come l’etico fa, che per la sete","come il tisico , che per la sete "
4048,l’un verso ’l mento e l’altro in sù rinverte. ,ne rivolge una verso il mento e l’altra verso l’alto. 
4049,"""O voi che sanz’alcuna pena siete,",«O voi che siete nel mondo dei malvagi  
4050,"e non so io perché, nel mondo gramo"",","senza alcun supplizio, e non ne conosco il motivo», "
4051,"diss’elli a noi, ""guardate e attendete ","ci disse quegli, «guardate e prestate attenzione  "
4052,a la miseria del maestro Adamo;,alla misera condizione di maestro Adamo;
4053,"io ebbi, vivo, assai di quel ch’i’ volli,","io, da vivo, godetti in abbondanza di quanto potevo desiderare, "
4054,"e ora, lasso!, un gocciol d’acqua bramo. ","ma ora, infelice! desidero una goccia d’acqua. "
4055,Li ruscelletti che d’i verdi colli,I torrenti che dai verdi colli 
4056,"del Casentin discendon giuso in Arno,",del Casentino scendono all’Arno 
4057,"faccendo i lor canali freddi e molli,","e rendono i loro alvei  freschi e umidi , "
4058,"sempre mi stanno innanzi, e non indarno,","sempre mi stanno innanzi, e non inutilmente , "
4059,ché l’imagine lor vie più m’asciuga ,poiché il loro ricordo  mi inaridisce assai 
4060,che ’l male ond’io nel volto mi discarno.,più della malattia  per la quale il mio volto si fa scarno. 
4061,La rigida giustizia che mi fruga,L’inflessibile giustizia che mi tormenta  
4062,tragge cagion del loco ov’io peccai,prende lo spunto dalla terra ove io peccai 
4063,a metter più li miei sospiri in fuga. ,per aggravare di più i miei sospiri. 
4064,"Ivi è Romena, là dov’io falsai","Lì c’è Romena, dove io falsificai la moneta  "
4065,la lega suggellata del Batista;,con il conio  del Battista ; 
4066,per ch’io il corpo sù arso lasciai. ,per questo in terra  lasciai il mio corpo sul rogo. 
4067,Ma s’io vedessi qui l’anima trista,Ma se io potessi vedere qui l’anima malvagia  
4068,"di Guido o d’Alessandro o di lor frate,","di Guido o di Alessandro o del loro fratello, "
4069,per Fonte Branda non darei la vista. ,non cambierei questa vista neppure per la Fonte Branda. 
4070,"Dentro c’è l’una già, se l’arrabbiate","Qui c’è già una di queste anime, se i dannati pien di rabbia"
4071,ombre che vanno intorno dicon vero;,che vanno intorno alla bolgia dicono il vero;
4072,"ma che mi val, c’ ho le membra legate? ","ma che mi serve, poiché ho le membra impedite? "
4073,S’io fossi pur di tanto ancor leggero,Se io fossi più leggero di quel tanto 
4074,"ch’i’ potessi in cent’anni andare un’oncia,","che mi permettesse di spostarmi in cento anni di un’oncia soltanto,"
4075,"io sarei messo già per lo sentiero, ","già mi sarei messo in cammino,"
4076,"cercando lui tra questa gente sconcia,","alla ricerca di costui tra questa gente sconcia, "
4077,"con tutto ch’ella volge undici miglia,","nonostante la bolgia  abbia una circonferenza  di undici miglia,"
4078,e men d’un mezzo di traverso non ci ha. ,e non abbia mai un diametro inferiore a mezzo miglio. 
4079,Io son per lor tra sì fatta famiglia;,Per causa loro io sono in questa bella compagnia; 
4080,e’ m’indussero a batter li fiorini,essi mi spinsero a battere i fiorini 
4081,"ch’avevan tre carati di mondiglia"". ",che avevano tre carati di metallo vile ». 
4082,"E io a lui: ""Chi son li due tapini",E io a lui: «Chi sono quei due meschini  
4083,"che fumman come man bagnate ’l verno, ","che fumano come le mani bagnate d’inverno,"
4084,"giacendo stretti a’ tuoi destri confini?"".",e stanno stretti a destra ai margini del tuo ventre ?». 
4085,"""Qui li trovai - e poi volta non dierno -"",","«Li ho trovati qui – e da allora non si sono più mossi –», "
4086,"rispuose, ""quando piovvi in questo greppo, ","rispose, «quando precipitai in questa bolgia , "
4087,e non credo che dieno in sempiterno.,e credo che non si muoveranno più in eterno. 
4088,L’una è la falsa ch’accusò Gioseppo;,Una è la bugiarda che accusò Giuseppe; 
4089,l’altr’è ’l falso Sinon greco di Troia: ,"l’altro è il bugiardo Sinone, greco di Troia: "
4090,"per febbre aguta gittan tanto leppo"".",per la febbre altissima esalano un fortissimo odor di bruciato ». 
4091,"E l’un di lor, che si recò a noia","E uno di questi, dispiaciuto forse "
4092,"forse d’esser nomato sì oscuro, ","per essere stato nominato in modo così offensivo , "
4093,col pugno li percosse l’epa croia.,con il pugno gli percosse il ventre  duro . 
4094,Quella sonò come fosse un tamburo;,Questo risuonò come se fosse stato un tamburo; 
4095,e mastro Adamo li percosse il volto ,"e maestro Adamo gli percosse il viso con il braccio,"
4096,"col braccio suo, che non parve men duro,","che non sembrò meno duro, dicendogli:"
4097,"dicendo a lui: ""Ancor che mi sia tolto",«Nonostante  mi sia impedito  
4098,"lo muover per le membra che son gravi, ","di muovermi a causa delle membra appesantite,"
4099,"ho io il braccio a tal mestiere sciolto"".",io ho il braccio libero  per tale scopo». 
4100,"Ond’ei rispuose: ""Quando tu andavi",Per cui egli rispose: «Quando salivi 
4101,"al fuoco, non l’avei tu così presto; ","il rogo, non l’avevi così lesto ; "
4102,"ma sì e più l’avei quando coniavi"".",ma certo era così e forse ancor più quando coniavi». 
4103,"E l’idropico: ""Tu di’ ver di questo:",E l’idropico: «Tu in questo caso dici il vero; 
4104,ma tu non fosti sì ver testimonio ,ma non fosti certo un verace testimone 
4105,"là ’ve del ver fosti a Troia richesto"".",nella circostanza in cui a Troia fosti chiamato a dir la verità». 
4106,"""S’io dissi falso, e tu falsasti il conio"",","«S’io falsificai la parola, tu falsificasti la moneta»,"
4107,"disse Sinon; ""e son qui per un fallo, ","disse Sinone, «e io sono qui per un solo peccato,"
4108,"e tu per più ch’alcun altro demonio!"".",mentre tu per colpe più numerose di qualsiasi altro dannato!». 
4109,"""Ricorditi, spergiuro, del cavallo"",","«Ricordati, spergiuro, del cavallo »,"
4110,rispuose quel ch’avëa infiata l’epa; ,"rispose colui che aveva il ventre gonfio, "
4111,"""e sieti reo che tutto il mondo sallo!"".",«e ti sia di cruccio  il fatto che tutto il mondo lo conosce !». 
4112,"""E te sia rea la sete onde ti crepa"",","«E il tuo cruccio siano la sete per cui», "
4113,"disse ’l Greco, ""la lingua, e l’acqua marcia ","disse il Greco, «ti si spacca la lingua, e quel putrido liquido "
4114,"che ’l ventre innanzi a li occhi sì t’assiepa!"".",che ti ingrossa  il ventre su fino agli occhi!». 
4115,"Allora il monetier: ""Così si squarcia",Allora il falsario: «La tua bocca si squarcia 
4116,la bocca tua per tuo mal come suole; ,"per quel tuo male che in tal modo agisce ,"
4117,"ché, s’i’ ho sete e omor mi rinfarcia,","perché se io ho sete e questo umore mi rigonfia ,"
4118,"tu hai l’arsura e ’l capo che ti duole,","tu hai l’arsura della febbre e il capo che ti duole, "
4119,"e per leccar lo specchio di Narcisso,","e per leccare lo specchio  di Narciso, "
4120,"non vorresti a ’nvitar molte parole"". ",non avresti bisogno di molte parole che ti invoglino». 
4121,"Ad ascoltarli er’io del tutto fisso,","Io ero tutto intento  ad ascoltarli, "
4122,"quando ’l maestro mi disse: ""Or pur mira,",quando il maestro mi disse: «Adesso stai bene attento 
4123,"che per poco che teco non mi risso!"". ",che per poco non litigo  con te!». 
4124,"Quand’io ’l senti’ a me parlar con ira,","Quando lo sentii indirizzarsi a me con ira, "
4125,"volsimi verso lui con tal vergogna,","mi volsi a lui con tale vergogna, che ancora adesso "
4126,ch’ancor per la memoria mi si gira. ,mi è viva  nella memoria. 
4127,"Qual è colui che suo dannaggio sogna,","Come colui che sta sognando di subire un danno, "
4128,"che sognando desidera sognare,","e mentre sogna desidera sognare, "
4129,"sì che quel ch’è, come non fosse, agogna, ","così che spera che quel che accade non sia vero,"
4130,"tal mi fec’io, non possendo parlare,","tale mi feci io, non potendo  parlare, "
4131,"che disïava scusarmi, e scusava","che volevo chiedere scusa, e tuttavia mi scusavo, "
4132,"me tuttavia, e nol mi credea fare. ",anche se non mi pareva di farlo. 
4133,"""Maggior difetto men vergogna lava"",",«La vergogna che mostri  basterebbe 
4134,"disse ’l maestro, ""che ’l tuo non è stato;","a scusare un errore maggiore del tuo», disse il maestro,"
4135,però d’ogne trestizia ti disgrava. ,«per questo liberati  da ogni mestizia. 
4136,"E fa ragion ch’io ti sia sempre allato,","E fa’ conto che io ti sia sempre vicino, "
4137,se più avvien che fortuna t’accoglia ,se ancora succede che la fortuna ti mandi 
4138,dove sien genti in simigliante piato:,in un luogo dove si trovino persone in simile contesa : 
4139,"ché voler ciò udire è bassa voglia"".",poiché è un desiderio volgare voler ascoltare liti come questa». 
4140,"Una medesma lingua pria mi morse,","La stessa lingua prima mi rimproverò , "
4141,"sì che mi tinse l’una e l’altra guancia,","tanto da farmi arrossire di vergogna, "
4142,e poi la medicina mi riporse;,e poi mi riconfortò ; 
4143,così od’io che solea far la lancia,così sento raccontare che la lancia 
4144,d’Achille e del suo padre esser cagione,"di Achille, e di suo padre , soleva essere causa"
4145,prima di trista e poi di buona mancia. ,prima di un dannoso e poi di un benefico assalto .
4146,Noi demmo il dosso al misero vallone,"Noi volgemmo le spalle  alla miserabile bolgia, "
4147,"su per la ripa che ’l cinge dintorno,",percorrendo  la spianata dell’argine 
4148,attraversando sanza alcun sermone. ,"che la circonda, senza pronunciare parola. "
4149,"Quiv’era men che notte e men che giorno,","Qui c’era meno buio che di notte e meno chiaro che di giorno, "
4150,sì che ’l viso m’andava innanzi poco;,così che la mia vista si spingeva avanti di poco; 
4151,"ma io senti’ sonare un alto corno, ","ma udii risuonare un corno tanto fragorosamente, "
4152,"tanto ch’avrebbe ogne tuon fatto fioco,","che avrebbe fatto parere debole qualsiasi tuono, "
4153,"che, contra sé la sua via seguitando,",e indirizzò in un sol punto i miei occhi 
4154,dirizzò li occhi miei tutti ad un loco. ,che seguivano il percorso del suono in senso opposto . 
4155,"Dopo la dolorosa rotta, quando","Dopo la dolorosa disfatta, quando "
4156,"Carlo Magno perdé la santa gesta,","Carlo Magno perdette la schiera dei paladini che combattevano per la fede, "
4157,non sonò sì terribilmente Orlando. ,Orlando non suonò così terribilmente. 
4158,"Poco portäi in là volta la testa,","Dopo aver voltato per poco tempo il capo nella direzione del suono ,"
4159,che me parve veder molte alte torri;,mi parve di vedere molte alte torri; 
4160,"ond’io: ""Maestro, dì, che terra è questa?"". ","per cui: «Maestro, dimmi, che città  è questa?»."
4161,"Ed elli a me: ""Però che tu trascorri",Ed egli a me: «Poiché tu ti spingi con lo sguardo 
4162,"per le tenebre troppo da la lungi,","troppo lontano attraverso le tenebre, "
4163,avvien che poi nel maginare abborri. ,"accade che nel dare a ciò che vedi una figura , lo fai in modo impreciso ."
4164,"Tu vedrai ben, se tu là ti congiungi,","Vedrai bene, se arriverai fin là , "
4165,quanto ’l senso s’inganna di lontano;,quanto il senso s’inganna da lontano; 
4166,"però alquanto più te stesso pungi"". ",perciò stimola  di più te stesso». 
4167,Poi caramente mi prese per mano,Poi mi prese affettuosamente per mano e 
4168,"e disse: ""Pria che noi siam più avanti,","mi disse: «Prima che noi siamo più avanti, "
4169,"acciò che ’l fatto men ti paia strano, ","affinché ciò che vedrai ti appaia meno sorprendente, "
4170,"sappi che non son torri, ma giganti,","devi sapere che non si tratta di torri, ma di giganti, "
4171,e son nel pozzo intorno da la ripa,"e che essi sono disposti intorno alla parete  del pozzo, "
4172,"da l’umbilico in giuso tutti quanti"". ", in tutta la loro lunghezza  dall’ombelico in giù». 
4173,"Come quando la nebbia si dissipa,","Come, quando la nebbia si disperde, "
4174,lo sguardo a poco a poco raffigura,gli occhi a poco a poco ravvisano
4175,"ciò che cela ’l vapor che l’aere stipa, ","le cose nascoste dal vapore che addensa  l’aria,"
4176,"così forando l’aura grossa e scura,","così penetrando con lo sguardo  in quest’aria spessa e tenebrosa, "
4177,"più e più appressando ver’ la sponda,","via via che mi avvicinavo all’orlo del pozzo, "
4178,fuggiemi errore e cresciemi paura; ,si dissolveva l’equivoco  e aumentava il timore; 
4179,"però che, come su la cerchia tonda","poiché, come il castello di Monteriggioni è cinto di torri "
4180,"Montereggion di torri si corona,","disposte lungo il muro circolare,"
4181,così la proda che ’l pozzo circonda ,"così i giganti spaventosi, che  ancora oggi"
4182,torreggiavan di mezza la persona,"Giove sembra minacciare dal cielo quando tuona, "
4183,"li orribili giganti, cui minaccia",come torri sormontavano  con metà del corpo 
4184,Giove del cielo ancora quando tuona. ,la sponda che gira intorno  al pozzo.
4185,"E io scorgeva già d’alcun la faccia,","E io già di uno  distinguevo  la faccia, "
4186,"le spalle e ’l petto e del ventre gran parte,","le spalle, il petto, gran parte del ventre"
4187,e per le coste giù ambo le braccia. ,e le due braccia pendenti  lungo i fianchi . 
4188,"Natura certo, quando lasciò l’arte",Certo quando la natura cessò di produrre 
4189,"di sì fatti animali, assai fé bene","siffatti esseri animati, agì con molta accortezza "
4190,per tòrre tali essecutori a Marte. ,perché sottrasse  a Marte ministri di potenza indicibile. 
4191,E s’ella d’elefanti e di balene,"E se la natura  non si pente di  elefanti e balene, "
4192,"non si pente, chi guarda sottilmente,","chi esamina a fondo, la giudica per questo  "
4193,più giusta e più discreta la ne tene; ,più giusta e più saggia ; 
4194,ché dove l'argomento de la mente,poiché dove lo strumento  dell’intelligenza
4195,"s'aggiugne al mal volere e a la possa,","si aggiunge alla volontà malvagia e alla forza fisica, "
4196,nessun riparo vi può far la gente. ,gli uomini non possono opporre alcun argine. 
4197,La faccia sua mi parea lunga e grossa,La sua faccia mi appariva lunga e grossa 
4198,"come la pina di San Pietro a Roma,","come la pigna  di San Pietro a Roma,"
4199,e a sua proporzione eran l’altre ossa; ,e l’intera struttura  era proporzionale a questa; 
4200,"sì che la ripa, ch’era perizoma","cosicché la sponda del pozzo,"
4201,"dal mezzo in giù, ne mostrava ben tanto","coprendo come un perizoma la parte inferiore del corpo,"
4202,"di sovra, che di giugnere a la chioma ","ne lasciava apparire sopra l’orlo una mole tale, "
